ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		5,78		2,45	2,28	0,00		2,37		0
-1.0_0.0_12__2		4,17		1,05	0,64	0,00		0,79		0
-1.0_0.0_12__4		4,16		1,05	0,68	0,00		0,89		0
-1.0_0.0_12__6		4,32		1,23	1,02	0,00		1,15		0
-1.0_0.0_12__8		4,71		1,72	1,51	0,00		1,63		0
-1.0_0.3_12__10		9,35		7,16	3,76	0,00		4,20		0
-1.0_0.3_12__2		6,92		4,28	1,04	0,00		2,38		0
-1.0_0.3_12__4		6,77		3,80	1,17	0,00		2,25		0
-1.0_0.3_12__6		7,02		3,77	1,47	0,00		2,66		0
-1.0_0.3_12__8		7,25		4,76	2,16	0,00		2,97		0
-1.0_0.5_12__10		14,30		7,73	6,86	0,00		7,21		0
-1.0_0.5_12__2		8,81		5,30	1,41	0,00		2,85		0
-1.0_0.5_12__4		8,51		4,55	1,26	0,00		3,00		0
-1.0_0.5_12__6		8,38		4,74	1,67	0,00		2,94		0
-1.0_0.5_12__8		9,53		6,31	3,09	0,00		4,12		0
-1.0_0.7_12__10		16,29		8,07	4,91	0,00		7,43		0
-1.0_0.7_12__2		12,95		7,56	1,93	0,00		4,80		0
-1.0_0.7_12__4		11,50		5,26	1,47	0,00		3,88		0
-1.0_0.7_12__6		11,38		5,50	1,96	0,00		3,79		0
-1.0_0.7_12__8		12,54		6,45	3,08	0,00		5,40		0
-1.0_1.0_12__10		9,78		5,15	4,21	0,00		4,72		0
-1.0_1.0_12__2		7,40		4,02	1,56	0,00		2,55		0
-1.0_1.0_12__4		6,91		2,96	1,30	0,00		2,19		0
-1.0_1.0_12__6		7,06		3,04	1,86	0,00		2,46		0
-1.0_1.0_12__8		7,81		3,77	2,77	0,00		3,31		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		2,34		0,60	0,50	0,00		0,55		0
-1.0_0.0_12__2		1,98		0,30	0,09	0,00		0,19		0
-1.0_0.0_12__4		2,38		0,66	0,47	0,00		0,58		0
-1.0_0.0_12__6		2,47		0,78	0,62	0,00		0,70		0
-1.0_0.0_12__8		2,69		1,03	0,89	0,00		0,95		0
-1.0_0.3_12__10		4,03		2,18	0,75	0,00		1,49		0
-1.0_0.3_12__2		3,04		1,69	0,21	0,00		0,67		0
-1.0_0.3_12__4		3,74		2,25	0,65	0,00		1,34		0
-1.0_0.3_12__6		4,04		2,28	0,90	0,00		1,62		0
-1.0_0.3_12__8		4,18		2,78	1,31	0,00		1,78		0
-1.0_0.5_12__10		4,97		2,49	0,82	0,00		1,70		0
-1.0_0.5_12__2		4,04		2,30	0,18	0,00		0,91		0
-1.0_0.5_12__4		4,97		2,87	0,91	0,00		1,83		0
-1.0_0.5_12__6		4,97		2,93	1,13	0,00		1,89		0
-1.0_0.5_12__8		5,56		3,36	1,57	0,00		2,49		0
-1.0_0.7_12__10		6,22		2,55	0,59	0,00		1,72		0
-1.0_0.7_12__2		5,74		3,20	0,23	0,00		1,47		0
-1.0_0.7_12__4		6,70		3,69	0,97	0,00		2,35		0
-1.0_0.7_12__6		7,17		3,77	1,44	0,00		2,74		0
-1.0_0.7_12__8		7,66		4,83	1,94	0,00		3,42		0
-1.0_1.0_12__10		3,91		1,59	0,65	0,00		1,26		0
-1.0_1.0_12__2		3,53		1,41	0,34	0,00		0,95		0
-1.0_1.0_12__4		3,93		1,90	0,87	0,00		1,35		0
-1.0_1.0_12__6		4,09		2,38	0,98	0,00		1,52		0
-1.0_1.0_12__8		4,42		2,54	1,46	0,00		1,89		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		4,36		1,55	1,37	0,00		1,45		0
-1.0_0.0_12__2		3,25		0,59	0,19	0,00		0,36		0
-1.0_0.0_12__4		3,46		0,80	0,54	0,00		0,67		0
-1.0_0.0_12__6		3,55		0,95	0,77	0,00		0,84		0
-1.0_0.0_12__8		3,66		1,14	0,94	0,00		1,04		0
-1.0_0.3_12__10		7,33		5,71	2,41	0,00		2,85		0
-1.0_0.3_12__2		6,35		3,98	0,49	0,00		2,41		0
-1.0_0.3_12__4		6,47		4,00	0,87	0,00		2,60		0
-1.0_0.3_12__6		6,70		3,78	1,24	0,00		2,90		0
-1.0_0.3_12__8		6,19		4,22	1,55	0,00		2,46		0
-1.0_0.5_12__10		10,93		5,91	2,38	0,00		5,19		0
-1.0_0.5_12__2		8,21		5,25	0,64	0,00		3,01		0
-1.0_0.5_12__4		8,22		5,37	1,18	0,00		3,14		0
-1.0_0.5_12__6		8,39		4,71	1,32	0,00		3,50		0
-1.0_0.5_12__8		7,83		4,25	2,21	0,00		3,16		0
-1.0_0.7_12__10		12,40		5,72	3,87	0,00		4,95		0
-1.0_0.7_12__2		10,21		7,52	0,93	0,00		3,40		0
-1.0_0.7_12__4		9,95		5,71	1,29	0,00		3,42		0
-1.0_0.7_12__6		9,86		5,52	1,75	0,00		3,39		0
-1.0_0.7_12__8		10,66		5,65	2,28	0,00		4,47		0
-1.0_1.0_12__10		7,49		3,82	2,70	0,00		3,26		0
-1.0_1.0_12__2		5,78		2,86	0,44	0,00		1,71		0
-1.0_1.0_12__4		6,02		3,09	1,04	0,00		2,04		0
-1.0_1.0_12__6		6,16		2,90	1,63	0,00		2,29		0
-1.0_1.0_12__8		6,35		3,07	2,07	0,00		2,57		0



ALPHA = 2.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		1,91		0,47	0,35	0,00		0,41		0
-1.0_0.0_12__2		1,53		0,18	-0,07	-0,03		0,07		10
-1.0_0.0_12__4		1,89		0,49	0,32	0,00		0,39		0
-1.0_0.0_12__6		1,97		0,58	0,42	0,00		0,50		0
