ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__8		2,04		0,66	0,50	0,00		0,59		0
-1.0_0.3_12__10		3,52		2,18	0,66	0,00		1,35		0
-1.0_0.3_12__2		3,13		1,83	0,03	0,00		1,07		0
-1.0_0.3_12__4		3,35		2,26	0,60	0,00		1,25		0
-1.0_0.3_12__6		3,35		2,12	0,68	0,00		1,33		0
-1.0_0.3_12__8		3,35		2,42	0,84	0,00		1,32		0
-1.0_0.5_12__10		4,50		2,43	0,71	0,00		1,73		0
-1.0_0.5_12__2		4,06		2,27	0,06	0,00		1,41		0
-1.0_0.5_12__4		4,44		2,89	0,66	0,00		1,77		0
-1.0_0.5_12__6		4,62		2,75	0,92	0,00		1,98		0
-1.0_0.5_12__8		4,71		2,95	1,03	0,00		2,06		0
-1.0_0.7_12__10		5,59		2,62	0,59	0,00		1,79		0
-1.0_0.7_12__2		5,28		2,98	-0,12	-0,09		1,77		2
-1.0_0.7_12__4		5,53		3,60	0,82	0,00		1,85		0
-1.0_0.7_12__6		5,69		3,55	1,11	0,00		2,16		0
-1.0_0.7_12__8		6,13		3,80	1,40	0,00		2,52		0
-1.0_1.0_12__10		3,28		1,56	0,71	0,00		1,10		0
-1.0_1.0_12__2		2,95		1,62	0,30	0,00		0,80		0
-1.0_1.0_12__4		3,37		2,26	0,50	0,00		1,23		0
-1.0_1.0_12__6		3,51		2,02	0,73	0,00		1,41		0
-1.0_1.0_12__8		3,62		1,87	1,29	0,00		1,52		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		3,71		1,13	0,97	0,00		1,04		0
-1.0_0.0_12__2		2,83		0,36	-0,12	-0,12		0,18		1
-1.0_0.0_12__4		3,10		0,67	0,39	0,00		0,52		0
-1.0_0.0_12__6		3,18		0,76	0,52	0,00		0,69		0
-1.0_0.0_12__8		3,24		0,90	0,70	0,00		0,83		0
-1.0_0.3_12__10		6,60		5,11	1,78	0,00		2,59		0
-1.0_0.3_12__2		5,58		4,38	0,47	0,00		1,92		0
-1.0_0.3_12__4		6,11		4,05	0,77	0,00		2,51		0
-1.0_0.3_12__6		6,60		3,81	0,85	0,00		3,03		0
-1.0_0.3_12__8		5,36		4,02	1,24	0,00		1,99		0
-1.0_0.5_12__10		9,67		5,23	1,89	0,00		4,47		0
-1.0_0.5_12__2		7,46		5,05	0,25	0,00		2,69		0
-1.0_0.5_12__4		7,50		5,50	1,06	0,00		2,88		0
-1.0_0.5_12__6		7,77		4,72	1,21	0,00		3,25		0
-1.0_0.5_12__8		7,22		4,96	1,78	0,00		2,85		0
-1.0_0.7_12__10		11,07		5,23	3,44	0,00		4,06		0
-1.0_0.7_12__2		10,00		6,76	0,91	0,00		3,79		0
-1.0_0.7_12__4		9,75		5,80	1,10	0,00		3,65		0
-1.0_0.7_12__6		9,10		5,51	1,66	0,00		3,16		0
-1.0_0.7_12__8		9,94		5,17	1,93	0,00		4,21		0
-1.0_1.0_12__10		6,76		3,32	2,46	0,00		2,81		0
-1.0_1.0_12__2		5,68		3,62	0,50	0,00		1,92		0
-1.0_1.0_12__4		5,75		3,32	1,05	0,00		2,08		0
-1.0_1.0_12__6		5,80		3,01	1,43	0,00		2,22		0
-1.0_1.0_12__8		5,85		3,00	1,69	0,00		2,36		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		1,70		0,39	0,26	0,00		0,33		0
-1.0_0.0_12__2		1,31		0,04	-0,15	-0,06		0,03		28
-1.0_0.0_12__4		1,67		0,41	0,20	0,00		0,30		0
-1.0_0.0_12__6		1,74		0,49	0,31	0,00		0,39		0
-1.0_0.0_12__8		1,77		0,52	0,35	0,00		0,45		0
-1.0_0.3_12__10		3,25		2,01	0,45	0,00		1,30		0
-1.0_0.3_12__2		2,92		1,87	-0,15	-0,07		1,17		3
-1.0_0.3_12__4		2,97		2,13	0,42	0,00		1,10		0
-1.0_0.3_12__6		3,10		2,17	0,55	0,00		1,24		0
-1.0_0.3_12__8		2,90		2,25	0,70	0,00		1,07		0
-1.0_0.5_12__10		4,18		2,30	0,56	0,00		1,65		0
-1.0_0.5_12__2		3,62		2,26	-0,08	-0,04		1,32		4
-1.0_0.5_12__4		4,20		2,76	0,43	0,00		1,81		0
-1.0_0.5_12__6		4,32		2,71	0,62	0,00		1,90		0
-1.0_0.5_12__8		4,44		2,73	0,92	0,00		1,97		0
-1.0_0.7_12__10		5,33		2,69	0,68	0,00		1,91		0
-1.0_0.7_12__2		4,34		2,88	-0,17	-0,07		1,23		4
-1.0_0.7_12__4		5,28		3,56	0,74	0,00		1,90		0
-1.0_0.7_12__6		5,46		3,42	0,96	0,00		2,16		0
-1.0_0.7_12__8		5,67		3,44	1,02	0,00		2,41		0
-1.0_1.0_12__10		3,04		1,52	0,69	0,00		1,07		0
-1.0_1.0_12__2		2,56		1,45	0,07	0,00		0,64		0
-1.0_1.0_12__4		3,18		1,92	0,68	0,00		1,23		0
-1.0_1.0_12__6		3,08		1,84	0,50	0,00		1,15		0
-1.0_1.0_12__8		3,21		1,78	0,69	0,00		1,30		0



ALPHA = 3.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		3,39		0,95	0,74	0,00		0,85		0
-1.0_0.0_12__2		2,54		0,22	-0,15	-0,06		0,07		13
-1.0_0.0_12__4		2,84		0,56	0,21	0,00		0,40		0
-1.0_0.0_12__6		2,92		0,67	0,46	0,00		0,55		0
-1.0_0.0_12__8		2,98		0,81	0,57	0,00		0,68		0
-1.0_0.3_12__10		6,06		4,70	1,64	0,00		2,28		0
-1.0_0.3_12__2		5,41		4,03	0,14	0,00		1,84		0
-1.0_0.3_12__4		5,82		4,03	0,70	0,00		2,44		0
-1.0_0.3_12__6		6,29		3,81	0,77	0,00		2,90		0
-1.0_0.3_12__8		5,38		4,10	1,09	0,00		2,16		0
-1.0_0.5_12__10		9,49		5,05	1,68	0,00		4,44		0
-1.0_0.5_12__2		6,62		5,32	0,08	0,00		2,13		0
-1.0_0.5_12__4		7,75		5,03	0,85	0,00		3,26		0
-1.0_0.5_12__6		7,13		4,67	1,13	0,00		2,88		0
-1.0_0.5_12__8		6,81		4,73	1,20	0,00		2,67		0
-1.0_0.7_12__10		9,95		5,04	2,26	0,00		3,53		0
-1.0_0.7_12__2		9,23		6,76	0,28	0,00		3,31		0
-1.0_0.7_12__4		9,60		5,82	1,33	0,00		3,78		0
-1.0_0.7_12__6		8,62		5,49	1,50	0,00		2,99		0
-1.0_0.7_12__8		9,23		5,00	1,33	0,00		3,88		0
-1.0_1.0_12__10		6,33		3,09	2,01	0,00		2,67		0
-1.0_1.0_12__2		5,45		3,35	1,13	0,00		1,88		0
-1.0_1.0_12__4		5,42		3,17	1,22	0,00		1,97		0
-1.0_1.0_12__6		5,58		3,00	1,45	0,00		2,16		0
-1.0_1.0_12__8		5,62		2,91	1,82	0,00		2,31		0



ALPHA = 3.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		1,56		0,32	0,21	0,00		0,26		0
-1.0_0.0_12__2		1,18		-0,02	-0,22	-0,12		0,00		30
-1.0_0.0_12__4		1,52		0,36	0,10	0,00		0,22		0
-1.0_0.0_12__6		1,57		0,37	0,22	0,00		0,29		0
-1.0_0.0_12__8		1,62		0,42	0,31	0,00		0,36		0
-1.0_0.3_12__10		3,15		2,37	0,50	0,00		1,25		0
-1.0_0.3_12__2		2,25		1,78	-0,12	-0,06		0,66		7
-1.0_0.3_12__4		3,01		2,19	0,41	0,00		1,19		0
-1.0_0.3_12__6		3,25		2,29	0,61	0,00		1,45		0
-1.0_0.3_12__8		2,98		2,20	0,55	0,00		1,24		0
-1.0_0.5_12__10		3,89		2,29	0,52	0,00		1,47		0
-1.0_0.5_12__2		3,34		2,17	-0,16	-0,08		1,48		9
-1.0_0.5_12__4		4,18		2,91	0,50	0,00		1,84		0
-1.0_0.5_12__6		4,07		3,03	0,59	0,00		1,74		0
-1.0_0.5_12__8		3,84		2,73	0,74	0,00		1,61		0
-1.0_0.7_12__10		4,85		2,57	0,56	0,00		1,67		0
-1.0_0.7_12__2		4,33		2,75	-0,25	-0,11		1,49		4
-1.0_0.7_12__4		5,38		3,66	0,62	0,00		2,27		0
-1.0_0.7_12__6		4,91		3,48	0,78	0,00		1,85		0
-1.0_0.7_12__8		5,08		3,18	0,93	0,00		2,05		0
-1.0_1.0_12__10		2,84		1,33	0,33	0,00		0,98		0
-1.0_1.0_12__2		2,46		1,39	-0,19	-0,10		0,71		3
-1.0_1.0_12__4		2,82		1,70	0,46	0,00		1,01		0
-1.0_1.0_12__6		3,05		1,95	0,60	0,00		1,24		0
-1.0_1.0_12__8		2,99		1,59	0,81	0,00		1,18		0
