ALPHA = 1.5
JOBS COUNT = 50
seria			    withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_11_10		4,53 | 30	2,40 | 30	6,14	0,03	0,19
-1.0_0.0_11_2		41,76 | 30	41,76 | 30	6,31	0,25	0,50
-1.0_0.0_11_4		18,06 | 30	18,48 | 30	6,42	0,13	0,36
-1.0_0.0_11_6		10,48 | 30	10,41 | 30	6,24	0,06	0,25
-1.0_0.0_11_8		7,01 | 30	6,04 | 30	5,84	0,07	0,27
-1.0_0.3_11_10		2,80 | 30	0,37 | 8	8,35	0,41	0,64
-1.0_0.3_11_2		38,58 | 30	38,58 | 30	8,91	1,69	1,30
-1.0_0.3_11_4		15,50 | 30	16,09 | 30	8,98	0,44	0,66
-1.0_0.3_11_6		8,52 | 30	8,42 | 30	8,40	0,45	0,67
-1.0_0.3_11_8		5,25 | 30	3,85 | 30	7,91	0,39	0,63
-1.0_0.5_11_10		1,58 | 30	0,00 | 0	10,07	0,10	0,32
-1.0_0.5_11_2		35,77 | 30	35,77 | 30	11,34	1,29	1,14
-1.0_0.5_11_4		14,05 | 30	14,82 | 30	10,55	1,25	1,12
-1.0_0.5_11_6		7,39 | 30	7,26 | 30	9,79	0,91	0,96
-1.0_0.5_11_8		4,18 | 30	2,43 | 29	9,30	0,61	0,78
-1.0_0.7_11_10		2,00 | 30	0,94 | 1	9,82	0,40	0,63
-1.0_0.7_11_2		32,49 | 30	32,49 | 30	14,30	3,32	1,82
-1.0_0.7_11_4		11,35 | 30	12,53 | 30	13,59	0,56	0,75
-1.0_0.7_11_6		5,25 | 30	5,04 | 30	12,49	1,18	1,08
-1.0_0.7_11_8		2,97 | 30	1,34 | 14	10,98	0,98	0,99
-1.0_1.0_11_10		3,66 | 30	1,19 | 30	7,16	0,07	0,27
-1.0_1.0_11_2		40,39 | 30	40,39 | 30	7,40	0,44	0,66
-1.0_1.0_11_4		17,12 | 30	17,59 | 30	7,34	0,20	0,45
-1.0_1.0_11_6		9,80 | 30	9,71 | 30	6,98	0,17	0,41
-1.0_1.0_11_8		6,27 | 30	5,15 | 30	6,68	0,10	0,32



ALPHA = 1.5
JOBS COUNT = 100
seria			    withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_11_10		6,86 | 30	6,86 | 30	3,35	0,02	0,14
-1.0_0.0_11_2		46,03 | 30	46,03 | 30	2,98	0,04	0,21
-1.0_0.0_11_4		20,89 | 30	21,07 | 30	3,67	0,07	0,26
-1.0_0.0_11_6		13,02 | 30	12,99 | 30	3,54	0,06	0,25
-1.0_0.0_11_8		9,06 | 30	8,60 | 30	3,51	0,01	0,11
-1.0_0.3_11_10		5,67 | 30	5,67 | 30	4,70	0,07	0,26
-1.0_0.3_11_2		44,57 | 30	44,57 | 30	4,10	0,10	0,32
-1.0_0.3_11_4		19,55 | 30	19,82 | 30	4,92	0,22	0,47
-1.0_0.3_11_6		11,54 | 30	11,49 | 30	5,04	0,10	0,32
-1.0_0.3_11_8		7,86 | 30	7,18 | 30	4,81	0,11	0,33
-1.0_0.5_11_10		5,07 | 30	5,07 | 30	5,49	0,15	0,38
-1.0_0.5_11_2		43,19 | 30	43,19 | 30	5,20	0,22	0,47
-1.0_0.5_11_4		18,13 | 30	18,50 | 30	6,31	0,24	0,49
-1.0_0.5_11_6		10,61 | 30	10,54 | 30	6,06	0,19	0,43
-1.0_0.5_11_8		6,92 | 30	6,01 | 30	5,88	0,20	0,44
-1.0_0.7_11_10		4,62 | 30	4,62 | 30	6,23	0,11	0,33
-1.0_0.7_11_2		41,16 | 30	41,16 | 30	6,84	0,63	0,79
-1.0_0.7_11_4		16,26 | 30	16,83 | 30	8,21	0,42	0,65
-1.0_0.7_11_6		9,11 | 30	9,01 | 30	7,78	0,27	0,52
-1.0_0.7_11_8		5,90 | 30	4,53 | 30	7,18	0,29	0,54
-1.0_1.0_11_10		6,35 | 30	6,35 | 30	3,91	0,05	0,22
-1.0_1.0_11_2		45,30 | 30	45,30 | 30	3,53	0,11	0,33
-1.0_1.0_11_4		20,42 | 30	20,63 | 30	4,11	0,08	0,28
-1.0_1.0_11_6		12,50 | 30	12,46 | 30	4,06	0,13	0,35
-1.0_1.0_11_8		8,67 | 30	8,15 | 30	3,92	0,06	0,24



ALPHA = 2.0
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_11_10		4,92 | 30	3,85 | 30	5,48	0,04	0,20
-1.0_0.0_11_2		43,59 | 30	43,59 | 30	5,10	0,25	0,50
-1.0_0.0_11_4		19,13 | 30	19,35 | 30	5,43	0,11	0,32
-1.0_0.0_11_6		11,31 | 30	11,28 | 30	5,32	0,07	0,26
-1.0_0.0_11_8		7,53 | 30	7,12 | 30	5,15	0,04	0,20
-1.0_0.3_11_10		3,11 | 30	1,53 | 28	7,66	0,42	0,65
-1.0_0.3_11_2		40,45 | 30	40,45 | 30	7,64	0,87	0,93
-1.0_0.3_11_4		16,51 | 30	16,84 | 30	8,00	0,71	0,84
-1.0_0.3_11_6		9,09 | 30	9,03 | 30	7,67	0,31	0,55
-1.0_0.3_11_8		5,68 | 30	5,05 | 30	7,22	0,44	0,66
-1.0_0.5_11_10		2,03 | 30	0,92 | 7	9,03	0,41	0,64
-1.0_0.5_11_2		37,75 | 30	37,75 | 30	9,98	1,26	1,12
-1.0_0.5_11_4		14,73 | 30	15,21 | 30	9,90	1,31	1,15
-1.0_0.5_11_6		7,62 | 30	7,54 | 30	9,36	0,77	0,88
-1.0_0.5_11_8		4,59 | 30	3,76 | 30	8,54	0,35	0,59
-1.0_0.7_11_10		2,54 | 30	1,16 | 8	8,63	0,50	0,71
-1.0_0.7_11_2		35,44 | 30	35,44 | 30	12,12	3,52	1,88
-1.0_0.7_11_4		13,36 | 30	14,06 | 30	11,48	1,80	1,34
-1.0_0.7_11_6		6,37 | 30	6,25 | 30	10,95	1,52	1,23
-1.0_0.7_11_8		3,12 | 30	1,93 | 30	10,41	0,38	0,62
