ALPHA = 1.5
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_21__10		2,40 | 30	2,40 | 30	8,34	0,07	0,26
-1.0_0.0_21__2		41,76 | 30	41,76 | 30	6,31	0,25	0,50
-1.0_0.0_21__4		18,48 | 30	18,48 | 30	6,05	0,13	0,36
-1.0_0.0_21__6		10,41 | 30	10,41 | 30	6,31	0,07	0,26
-1.0_0.0_21__8		6,04 | 30	6,04 | 30	6,80	0,09	0,30
-1.0_0.3_21__10		0,36 | 7	0,36 | 7	12,10	1,57	1,25
-1.0_0.3_21__2		38,27 | 30	38,27 | 30	9,18	2,45	1,57
-1.0_0.3_21__4		15,90 | 30	15,90 | 30	8,64	0,77	0,88
-1.0_0.3_21__6		8,21 | 30	8,21 | 30	8,76	0,92	0,96
-1.0_0.3_21__8		3,77 | 30	3,77 | 30	9,48	1,06	1,03
-1.0_0.5_21__10		0,00 | 0	0,00 | 0	17,28	1,40	1,18
-1.0_0.5_21__2		34,57 | 30	34,57 | 30	12,43	2,72	1,65
-1.0_0.5_21__4		14,11 | 30	14,11 | 30	10,58	2,40	1,55
-1.0_0.5_21__6		6,71 | 30	6,71 | 30	10,61	2,26	1,50
-1.0_0.5_21__8		1,88 | 29	1,88 | 29	12,04	1,66	1,29
-1.0_0.7_21__10		3,69 | 1	3,69 | 1	19,25	6,46	2,54
-1.0_0.7_21__2		28,27 | 30	28,27 | 30	18,43	13,19	3,63
-1.0_0.7_21__4		10,41 | 30	10,41 | 30	14,86	1,26	1,12
-1.0_0.7_21__6		3,13 | 30	3,13 | 30	15,24	4,64	2,15
-1.0_0.7_21__8		1,29 | 8	1,29 | 8	16,17	4,76	2,18
-1.0_1.0_21__10		3,91 | 30	3,91 | 30	6,59	0,02	0,13
-1.0_1.0_21__2		43,58 | 30	43,58 | 30	4,89	0,03	0,19
-1.0_1.0_21__4		19,82 | 30	19,82 | 30	4,76	0,02	0,16
-1.0_1.0_21__6		11,75 | 30	11,75 | 30	4,91	0,01	0,11
-1.0_1.0_21__8		7,32 | 30	7,32 | 30	5,40	0,01	0,10



ALPHA = 1.5
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_21__10		6,86 | 30	6,86 | 30	3,35	0,02	0,14
-1.0_0.0_21__2		46,03 | 30	46,03 | 30	2,98	0,04	0,21
-1.0_0.0_21__4		21,07 | 30	21,07 | 30	3,51	0,07	0,26
-1.0_0.0_21__6		12,99 | 30	12,99 | 30	3,57	0,06	0,25
-1.0_0.0_21__8		8,60 | 30	8,60 | 30	3,94	0,01	0,12
-1.0_0.3_21__10		5,51 | 30	5,51 | 30	4,90	0,09	0,30
-1.0_0.3_21__2		44,51 | 30	44,51 | 30	4,16	0,14	0,38
-1.0_0.3_21__4		19,67 | 30	19,67 | 30	4,84	0,35	0,59
-1.0_0.3_21__6		11,33 | 30	11,33 | 30	5,26	0,16	0,39
-1.0_0.3_21__8		7,06 | 30	7,06 | 30	5,62	0,28	0,53
-1.0_0.5_21__10		4,62 | 30	4,62 | 30	6,04	0,28	0,53
-1.0_0.5_21__2		42,63 | 30	42,63 | 30	5,66	0,43	0,66
-1.0_0.5_21__4		17,89 | 30	17,89 | 30	6,58	0,45	0,67
-1.0_0.5_21__6		10,09 | 30	10,09 | 30	6,62	0,40	0,63
-1.0_0.5_21__8		5,51 | 30	5,51 | 30	7,38	0,67	0,82
-1.0_0.7_21__10		3,63 | 30	3,63 | 30	7,60	0,20	0,45
-1.0_0.7_21__2		39,30 | 30	39,30 | 30	8,42	1,99	1,41
-1.0_0.7_21__4		15,20 | 30	15,20 | 30	9,40	1,15	1,07
-1.0_0.7_21__6		7,40 | 30	7,40 | 30	9,74	1,20	1,09
-1.0_0.7_21__8		3,15 | 29	3,15 | 29	10,42	1,67	1,29
-1.0_1.0_21__10		7,46 | 30	7,46 | 30	2,69	0,01	0,07
-1.0_1.0_21__2		46,90 | 30	46,90 | 30	2,33	0,01	0,10
-1.0_1.0_21__4		21,96 | 30	21,96 | 30	2,71	0,01	0,10
