ALPHA = 1.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_12		1,30	0,12	0,35
0.3_0.3_12		2,10	0,41	0,64
0.3_0.5_12		2,92	0,97	0,98
0.3_0.7_12		5,01	1,36	1,17
0.3_1.0_12		7,98	4,55	2,13
0.5_0.0_12		1,63	0,11	0,33
0.5_0.3_12		2,48	0,30	0,55
0.5_0.5_12		3,99	0,86	0,93
0.5_0.7_12		6,43	1,60	1,27
0.5_1.0_12		9,92	5,38	2,32
0.7_0.0_12		1,99	0,08	0,28
0.7_0.3_12		3,19	0,19	0,43
0.7_0.5_12		4,67	0,99	1,00
0.7_0.7_12		6,39	1,77	1,33
0.7_1.0_12		8,73	4,50	2,12



ALPHA = 1.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_12		0,57	0,02	0,14
0.3_0.3_12		1,21	0,06	0,24
0.3_0.5_12		1,83	0,12	0,35
0.3_0.7_12		2,55	0,32	0,56
0.3_1.0_12		8,06	1,39	1,18
0.5_0.0_12		0,80	0,01	0,11
0.5_0.3_12		1,45	0,05	0,23
0.5_0.5_12		2,23	0,09	0,31
0.5_0.7_12		3,60	0,25	0,50
0.5_1.0_12		8,75	1,00	1,00
0.7_0.0_12		1,02	0,01	0,10
0.7_0.3_12		1,74	0,03	0,18
0.7_0.5_12		2,51	0,09	0,30
0.7_0.7_12		4,10	0,17	0,41
0.7_1.0_12		7,40	0,95	0,97



ALPHA = 2.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_12		1,33	0,17	0,41
0.3_0.3_12		1,96	0,41	0,64
0.3_0.5_12		3,27	1,15	1,07
0.3_0.7_12		5,77	3,53	1,88
0.3_1.0_12		8,20	7,77	2,79
0.5_0.0_12		1,59	0,15	0,39
0.5_0.3_12		2,62	0,56	0,75
0.5_0.5_12		4,02	0,98	0,99
0.5_0.7_12		6,71	3,10	1,76
0.5_1.0_12		10,63	6,24	2,50
0.7_0.0_12		2,04	0,07	0,27
0.7_0.3_12		3,26	0,40	0,64
0.7_0.5_12		4,02	0,67	0,82
0.7_0.7_12		6,99	1,45	1,20
0.7_1.0_12		8,64	4,60	2,15



ALPHA = 2.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_12		0,63	0,02	0,16
0.3_0.3_12		1,25	0,05	0,22
0.3_0.5_12		2,23	0,20	0,45
0.3_0.7_12		3,86	0,41	0,64
0.3_1.0_12		8,35	1,49	1,22
0.5_0.0_12		0,79	0,02	0,14
0.5_0.3_12		1,63	0,08	0,28
0.5_0.5_12		2,32	0,09	0,30
0.5_0.7_12		4,38	0,39	0,62
0.5_1.0_12		10,08	2,42	1,56
0.7_0.0_12		1,01	0,01	0,10
0.7_0.3_12		1,83	0,06	0,24
0.7_0.5_12		2,75	0,08	0,29
0.7_0.7_12		4,27	0,20	0,45
0.7_1.0_12		7,14	1,33	1,15



ALPHA = 2.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_12		1,26	0,24	0,49
0.3_0.3_12		2,88	0,43	0,66
0.3_0.5_12		3,65	1,18	1,09
0.3_0.7_12		5,51	2,56	1,60
0.3_1.0_12		8,94	5,47	2,34
0.5_0.0_12		1,54	0,18	0,42
0.5_0.3_12		2,86	0,40	0,64
0.5_0.5_12		3,93	0,86	0,93
0.5_0.7_12		6,43	2,29	1,51
0.5_1.0_12		10,09	7,26	2,70
0.7_0.0_12		2,02	0,10	0,31
0.7_0.3_12		3,30	0,39	0,63
0.7_0.5_12		4,76	0,78	0,88
0.7_0.7_12		7,24	1,58	1,26
0.7_1.0_12		9,68	5,32	2,31



ALPHA = 2.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_12		0,70	0,03	0,16
0.3_0.3_12		1,37	0,07	0,26
0.3_0.5_12		2,11	0,17	0,41
0.3_0.7_12		4,05	0,54	0,73
0.3_1.0_12		8,49	1,89	1,38
0.5_0.0_12		0,73	0,02	0,14
0.5_0.3_12		1,70	0,06	0,25
0.5_0.5_12		2,45	0,13	0,36
0.5_0.7_12		4,77	0,62	0,79
0.5_1.0_12		9,03	1,97	1,40
0.7_0.0_12		0,99	0,01	0,09
0.7_0.3_12		1,86	0,04	0,21
0.7_0.5_12		2,62	0,14	0,37
0.7_0.7_12		4,23	0,41	0,64
0.7_1.0_12		6,68	1,14	1,07



ALPHA = 3.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_12		1,31	0,26	0,51
0.3_0.3_12		2,58	0,50	0,70
0.3_0.5_12		3,12	1,13	1,06
0.3_0.7_12		5,22	2,69	1,64
0.3_1.0_12		10,71	8,75	2,96
0.5_0.0_12		1,65	0,20	0,45
0.5_0.3_12		2,85	0,61	0,78
0.5_0.5_12		4,20	1,63	1,28
0.5_0.7_12		7,09	3,17	1,78
0.5_1.0_12		10,40	8,88	2,98
0.7_0.0_12		1,95	0,08	0,28
0.7_0.3_12		3,43	0,29	0,54
0.7_0.5_12		4,69	0,59	0,77
0.7_0.7_12		6,75	2,04	1,43
0.7_1.0_12		8,93	6,98	2,64



ALPHA = 3.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_12		0,78	0,03	0,17
0.3_0.3_12		1,43	0,06	0,25
0.3_0.5_12		2,33	0,18	0,42
0.3_0.7_12		4,26	0,45	0,67
0.3_1.0_12		8,49	1,78	1,33
0.5_0.0_12		0,81	0,02	0,15
0.5_0.3_12		1,61	0,07	0,26
0.5_0.5_12		2,73	0,15	0,39
0.5_0.7_12		4,45	0,40	0,64
0.5_1.0_12		9,77	1,62	1,27
0.7_0.0_12		1,03	0,01	0,10
0.7_0.3_12		1,86	0,05	0,23
0.7_0.5_12		2,86	0,17	0,41
0.7_0.7_12		4,64	0,41	0,64
0.7_1.0_12		8,45	1,32	1,15
