ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		    max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.3_11__8		4,40		2,52	1,40	0,00		1,85		0
-1.0_0.5_11__10		4,80		1,92	1,12	0,00		1,53		0
-1.0_0.5_11__2		4,73		2,42	0,71	0,00		1,51		0
-1.0_0.5_11__4		5,29		2,75	0,93	0,00		2,03		0
-1.0_0.5_11__6		5,32		2,65	1,51	0,00		2,11		0
-1.0_0.5_11__8		5,58		3,00	1,76	0,00		2,36		0
-1.0_0.7_11__10		5,30		1,93	0,72	0,00		1,28		0
-1.0_0.7_11__2		5,77		2,80	0,57	0,00		1,61		0
-1.0_0.7_11__4		6,53		3,16	1,57	0,00		2,34		0
-1.0_0.7_11__6		6,41		3,12	1,43	0,00		2,37		0
-1.0_0.7_11__8		7,00		3,46	2,22	0,00		2,86		0
-1.0_1.0_11__10		3,28		1,56	0,71	0,00		1,10		0
-1.0_1.0_11__2		2,95		1,62	0,30	0,00		0,80		0
-1.0_1.0_11__4		3,37		2,26	0,50	0,00		1,23		0
-1.0_1.0_11__6		3,51		2,02	0,73	0,00		1,41		0
-1.0_1.0_11__8		3,62		1,87	1,29	0,00		1,52		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		5,60		2,54	1,88	0,00		2,13		0
-1.0_0.0_11__2		4,67		2,17	-0,08	-0,08		1,34		1
-1.0_0.0_11__4		4,87		2,30	0,89	0,00		1,57		0
-1.0_0.0_11__6		4,97		2,09	0,96	0,00		1,74		0
-1.0_0.0_11__8		5,05		2,21	1,35	0,00		1,92		0
-1.0_0.3_11__10		8,24		4,75	2,89	0,00		3,46		0
-1.0_0.3_11__2		7,19		4,51	1,29	0,00		2,66		0
-1.0_0.3_11__4		7,24		3,71	1,73	0,00		2,77		0
-1.0_0.3_11__6		7,31		3,71	1,55	0,00		2,94		0
-1.0_0.3_11__8		7,02		4,01	2,12	0,00		2,87		0
-1.0_0.5_11__10		10,16		5,13	3,57	0,00		4,38		0
-1.0_0.5_11__2		9,14		5,15	1,27	0,00		3,45		0
-1.0_0.5_11__4		8,85		4,56	2,01	0,00		3,38		0
-1.0_0.5_11__6		8,62		4,44	2,02	0,00		3,33		0
-1.0_0.5_11__8		8,49		4,68	2,42	0,00		3,35		0
-1.0_0.7_11__10		10,00		4,47	3,14	0,00		3,75		0
-1.0_0.7_11__2		11,68		7,30	2,31	0,00		4,64		0
-1.0_0.7_11__4		10,70		5,42	2,00	0,00		3,89		0
-1.0_0.7_11__6		10,34		5,20	2,33	0,00		3,75		0
-1.0_0.7_11__8		10,52		4,88	2,80	0,00		4,14		0
-1.0_1.0_11__10		6,76		3,32	2,46	0,00		2,81		0
-1.0_1.0_11__2		5,68		3,62	0,50	0,00		1,92		0
-1.0_1.0_11__4		5,75		3,32	1,05	0,00		2,08		0
-1.0_1.0_11__6		5,80		3,01	1,43	0,00		2,22		0
-1.0_1.0_11__8		5,85		3,00	1,69	0,00		2,36		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		2,57		1,10	0,50	0,00		0,80		0
-1.0_0.0_11__2		2,18		0,88	0,01	0,00		0,44		0
-1.0_0.0_11__4		2,67		1,41	0,41	0,00		0,91		0
-1.0_0.0_11__6		2,73		1,43	0,56	0,00		0,99		0
-1.0_0.0_11__8		2,74		1,29	0,55	0,00		1,02		0
-1.0_0.3_11__10		3,75		1,84	0,96	0,00		1,36		0
-1.0_0.3_11__2		3,45		2,16	-0,10	-0,10		1,17		1
-1.0_0.3_11__4		3,89		1,99	0,81	0,00		1,56		0
-1.0_0.3_11__6		3,93		2,21	1,08	0,00		1,62		0
-1.0_0.3_11__8		3,94		2,01	1,06	0,00		1,65		0
-1.0_0.5_11__10		4,49		1,88	0,80	0,00		1,50		0
-1.0_0.5_11__2		4,19		2,21	0,33	0,00		1,21		0
-1.0_0.5_11__4		4,77		2,68	0,63	0,00		1,88		0
-1.0_0.5_11__6		4,93		2,65	1,18	0,00		2,03		0
-1.0_0.5_11__8		5,12		2,61	1,65	0,00		2,17		0
-1.0_0.7_11__10		4,99		2,21	0,85	0,00		1,37		0
-1.0_0.7_11__2		5,19		2,88	0,40	0,00		1,43		0
-1.0_0.7_11__4		5,96		3,23	1,05	0,00		2,19		0
-1.0_0.7_11__6		5,97		3,09	1,26	0,00		2,28		0
-1.0_0.7_11__8		6,14		3,17	1,71	0,00		2,45		0
-1.0_1.0_11__10		3,04		1,52	0,69	0,00		1,07		0
-1.0_1.0_11__2		2,56		1,45	0,07	0,00		0,64		0
-1.0_1.0_11__4		3,18		1,92	0,68	0,00		1,23		0
-1.0_1.0_11__6		3,08		1,84	0,50	0,00		1,15		0
