id;iteration_number;min_solution;avg_solution;max_solution;OPX_EXCHANGE;OX_EXCHANGE;OPX_SHIFT;OX_SHIFT
1;100;6625.799119501387;7330.346438696154;8409.498179199558;3.2214316304302146E-20;1.6106127360000031E-19;1.548292751307572E-5;1.6106127360000024E-19
1;200;6613.728849106956;7323.068904075544;8446.391940949177;1.6493729947802708E-26;3.298534883328008E-27;6.144393216241593E-7;1.6492674416640037E-26
1;300;6592.599920491828;7275.57500038062;8183.599389202235;1.6493729947802708E-26;6.597069766656017E-28;0.0019200000003774878;3.2985348833280075E-27
1;400;6585.572890972411;7316.806333885791;8334.385899991887;1.6493729947802708E-26;6.597069766656017E-28;7.680003932160002E-5;3.2985348833280075E-27
1;500;6577.576352858665;7240.336289207714;8301.727978395285;1.6493729947802708E-26;6.597069766656017E-28;2.0944418327657406E-17;3.2985348833280075E-27
1;600;6568.032020333988;7213.181175716347;8117.544267637833;1.6493729947802708E-26;6.597069766656017E-28;1.5360008178912936E-5;3.2985348833280075E-27
1;700;6564.549427739193;7269.078277420214;8323.414390385575;1.6493729947802708E-26;6.597069766656017E-28;0.24960061459824376;3.2985348833280075E-27
1;800;6558.681256362277;7213.797641258128;8346.290419079121;1.6493729947802708E-26;6.597069766656017E-28;0.05760000003963618;3.2985348833280075E-27
1;900;6557.674627772526;7218.058232084094;8180.880006067899;1.0558690459115642E-30;1.0555311626649629E-30;2.9539961804705493E-8;5.277655813324814E-30
1;1000;6557.054691496601;7223.2546376885975;8248.498298774717;1.0558690459115642E-30;1.0555311626649629E-30;3.8402949120010157E-4;5.277655813324814E-30
1;1100;6555.087092134514;7324.120788110413;8274.866282070096;1.0558690459115642E-30;1.0555311626649629E-30;5.033486922548535E-16;5.277655813324814E-30
1;1200;6555.087092134514;7313.41749780791;9257.559842300454;1.0558690459115642E-30;1.0555311626649629E-30;0.0019975374844724207;5.277655813324814E-30
1;1300;6554.549309997301;7329.893330506074;8411.54278171841;1.0558690459115642E-30;1.0555311626649629E-30;0.04838400000031458;5.277655813324814E-30
1;1400;6554.470925627152;7792.021524789005;10148.478767372231;3.8092800629395607E-6;2.1110623253299258E-31;1.0977552202838138E-30;2.1110623253299258E-31
1;1500;6554.470925627152;7923.137625558392;9573.222626434841;2.4576000000006466E-8;2.1110623253299258E-31;1.0977552202838138E-30;2.1110623253299258E-31
1;1600;6554.36084296356;7938.033864815731;10276.316014912181;0.00969216000818141;4.222124650659852E-32;2.1955104405676275E-31;4.222124650660956E-32
1;1700;6554.36084296356;7957.387188747934;10331.843517404344;0.0484608;4.222124650659852E-32;2.1955104405676275E-31;4.222124650660956E-32
1;1800;6554.36084296356;7935.007334330757;9757.05693464217;0.28800000491552713;4.222124650659852E-32;2.1955104405676275E-31;4.222124650660956E-32
1;1900;6554.36084296356;7969.553707680512;10430.80485371565;0.009600005898567177;4.222124650659852E-32;2.1955104405676275E-31;4.222124650660956E-32
1;2000;6553.848718895046;7361.416587348162;8366.51826416532;5.066549670747591E-32;8.444249301319704E-33;0.28801538458419146;4.222124650660956E-32
1;2100;6553.848718895046;7297.7307885454975;8838.470203022483;5.066549670747591E-32;8.444249301319704E-33;0.04807989677292257;4.222124650660956E-32
1;2200;6546.0567515973935;7313.725366599367;8415.005307529324;5.066549670747591E-32;8.444249301319704E-33;1.229272488347224E-7;4.222124650660956E-32
1;2300;6545.822422014901;7392.982193613909;8528.88760620438;5.066549670747591E-32;8.444249301319704E-33;0.04800307219662069;4.222124650660956E-32
1;2400;6545.822422014901;7287.284598329491;8332.043170262776;5.066549670747591E-32;8.444249301319704E-33;7.987203939709766E-5;4.222124650660956E-32
1;2500;6545.822422014901;7239.287557394642;8674.977683037601;4.053239736598074E-34;3.377699720527882E-34;7.692386304000002E-5;3.377699720528765E-34
1;2600;6545.369382046782;7314.702234763015;8163.866074813854;4.053239736598074E-34;3.377699720527882E-34;7.682457631457379E-5;3.377699720528765E-34
1;2700;6545.369382046782;7273.071144144117;8455.625372471888;4.053239736598074E-34;3.377699720527882E-34;0.24192000491551466;3.377699720528765E-34
1;2800;6544.633587880594;7349.726764139072;8381.21992207928;4.053239736598074E-34;3.377699720527882E-34;7.680000007559813E-5;3.377699720528765E-34
1;2900;6544.633587880594;7265.253978622294;8199.568611873114;4.053239736598074E-34;3.377699720527882E-34;0.24000012288158554;3.377699720528765E-34
1;3000;6544.633587880594;7218.86814310847;8291.430409781025;4.053239736598074E-34;3.377699720527882E-34;1.5360000000000012E-5;3.377699720528765E-34
1;3100;6544.633587880594;7326.228292207246;8371.299507799238;4.053239736598074E-34;3.377699720527882E-34;3.870720003271558E-4;3.377699720528765E-34
1;3200;6544.633587880594;7196.2302624584;8100.158615593856;4.053239736598074E-34;3.377699720527882E-34;0.05760000000031458;3.377699720528765E-34
1;3300;6544.633587880594;7344.922772284672;8276.710501511052;4.053239736598074E-34;3.377699720527882E-34;7.987203932411659E-5;3.377699720528765E-34
1;3400;6544.633587880594;7259.706302609727;8248.617307715256;4.053239736598074E-34;3.377699720527882E-34;0.0019353600000629149;3.377699720528765E-34
1;3500;6544.633587880594;7372.798382166308;8589.37485551154;4.053239736598074E-34;3.377699720527882E-34;0.04993907196061287;3.377699720528765E-34
1;3600;6544.293760603325;7313.6756094024795;8349.91725232763;4.053239736598074E-34;3.377699720527882E-34;0.2400000049152;3.377699720528765E-34
1;3700;6544.293760603325;7371.052196290547;8347.410277974981;4.053239736598074E-34;3.377699720527882E-34;0.0483840051511296;3.377699720528765E-34
