id;iteration_number;min_solution;avg_solution;max_solution;PMX;CX;OX;OPX;OurCX
1;100;6525.208200229142;6586.001723773912;7415.158951185544;0.002384615424;0.3;1.2780306432000846E-7;0.3;0.30000028672
1;200;6524.826387284367;6577.060299865086;7413.3644882443905;0.2999999999999874;0.3;1.2780306432000846E-7;0.3;0.3
1;300;6524.826387284367;6571.0157195138445;7129.368145187483;0.05999692308480001;0.3;1.2780306432000846E-7;0.3;0.3
1;400;6524.826387284367;6571.520962541868;7331.854060003906;0.06;0.3;1.2780306432000846E-7;0.3;0.3
1;500;6524.826387284367;6597.648846528581;7385.338156780351;0.3;0.3;1.2780306432000846E-7;0.3;0.3
1;600;6524.826387284367;6586.534180175796;7304.230475388436;0.29808;0.3;1.2780306432000846E-7;0.3;0.3
1;700;6524.826387284367;6584.938252913116;7289.866095965943;0.3;0.3;1.2780306432000846E-7;0.3;0.3
1;800;6524.826387284367;6589.735736809795;7304.230475388436;0.3;0.3;1.2780306432000846E-7;0.3;0.3
1;900;6524.826387284367;6570.691797556481;7403.2610696901465;0.3;0.3;1.2780306432000846E-7;0.3;0.3
1;1000;6524.826387284367;6598.167818978137;7649.9079898765585;0.29808;0.3;1.2780306432000846E-7;0.3;0.3
1;1100;6524.826387284367;6618.810189262114;7529.364894930212;0.29999987712;0.3;1.2780306432000846E-7;0.3;0.3
1;1200;6629.907618252768;6930.81600614151;8074.89307716226;0.01161219048216784;0.29039999999213567;2.5567218896826616E-8;0.059999361024;2.0E-5
1;1300;6554.804237641674;6634.351720896291;7509.725642384513;0.3;0.3;2.5567218896826616E-8;0.3;2.0E-5
1;1400;6554.418832057003;6614.859138695069;7286.450163617687;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;1500;6554.418832057003;6608.565173447379;7424.252739207072;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;1600;6554.418832057003;6623.2038670987195;7564.611931544123;0.2999999999999874;0.3;2.5567218896826616E-8;0.3;0.3
1;1700;6554.418832057003;6597.081078894441;7438.845919018035;0.299996928;0.3;2.5567218896826616E-8;0.3;0.3
1;1800;6554.418832057003;6641.109017879407;7706.064906678716;0.2999999999996854;0.3;2.5567218896826616E-8;0.3;0.3
1;1900;6553.138925575378;6610.47424197734;7419.310123034289;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2000;6545.3730799421355;6622.998209041874;7589.295004461011;0.06;0.3;2.5567218896826616E-8;0.3;0.3
1;2100;6544.504637226042;6602.690927545604;7406.585933482118;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2200;6544.504637226042;6604.425313976056;7544.2104093012385;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2300;6544.504637226042;6602.367683962331;7267.098621286798;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2400;6544.504637226042;6593.501170477601;7414.943585414515;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2500;6544.504637226042;6597.499586553863;7226.850567210782;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2600;6544.504637226042;6590.476715288416;7204.088320220636;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2700;6544.504637226042;6599.649911685144;7353.549619429348;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2800;6544.504637226042;6610.884381984114;7503.502644822376;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;2900;6544.504637226042;6618.398666941395;7456.82103802357;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;3000;6544.504637226042;6614.310595807754;7247.9111603881365;0.3;0.3;2.5567218896826616E-8;0.3;0.3
1;3100;6546.874963203226;6595.87419432058;7299.875521879709;1.907711999765036E-5;0.3;2.5165839461884012E-15;0.2999999999606784;0.0596129033752387
1;3200;6541.269467877748;6598.6624982732465;7415.604239578575;0.05999987613696;0.3;2.5165839461884012E-15;0.3;0.3
1;3300;6541.267951801452;6591.094572419866;7515.173638794818;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;3400;6541.267951801452;6608.361719212986;7670.713314120629;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;3500;6541.267951801452;6599.106571265084;7588.716438252042;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;3600;6541.267951801452;6613.668289337192;7563.9722256877885;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;3700;6541.267951801452;6592.360020282729;7178.808884179847;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;3800;6541.267951801452;6594.371873853477;7515.485735126786;0.299996928;0.3;2.5165839461884012E-15;0.3;0.3
1;3900;6541.267951801452;6606.1284045968205;7415.600702173482;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;4000;6541.267951801452;6605.5573160331405;7230.029129642248;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;4100;6541.267951801452;6605.992017430753;7290.291473542147;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;4200;6541.267951801452;6577.533214035343;7172.731997033902;0.3;0.3;2.5165839461884012E-15;0.3;0.3
1;4300;6571.0147348739265;6645.71072844052;7756.39112776097;0.290396928;0.3;9.523203932160101E-5;0.3;1.0E-4
1;4400;6548.8649770005495;6607.107851808694;7280.694475508944;0.2980799999999995;0.3;9.523203932160101E-5;0.3;1.0E-4
1;4500;6548.857439666215;6639.282371958578;7901.715849213013;0.3;0.3;0.29999999999213567;0.3;0.3
1;4600;6548.857439666215;6594.082778888043;7061.13180099955;0.3;0.3;0.3;0.3;0.3
1;4700;6548.857439666215;6601.486620177198;7549.567609521031;0.252;0.3;0.2999999999999371;0.3;0.3
1;4800;6548.857439666215;6626.19503708093;8356.589725539638;0.3;0.3;0.29999997538436385;0.3;0.3
1;4900;6548.857439666215;6620.945732244832;7726.354392816291;0.3;0.3;0.2980799990168845;0.3;0.3
1;5000;6548.857439666215;6602.195479819424;7509.517223186831;0.3;0.3;0.3;0.3;0.3
1;5100;6548.857439666215;6601.27884486094;7640.671611338541;0.3;0.3;0.2999999999999371;0.3;0.3
1;5200;6548.857439666215;6611.539443641376;7606.568331224518;0.3;0.3;0.2999999999999975;0.3;0.3
1;5300;6548.857439666215;6642.216437820713;8345.398844423311;0.3;0.3;0.01199999507693568;0.3;0.3
1;5400;6548.857439666215;6614.233450346459;7722.921429258606;0.29999999999213567;0.3;0.299999975424;0.3;0.3
1;5500;6551.37423978132;6642.159610108721;8418.87714370678;0.3;0.3;0.0596129277640703;0.3;1.0E-4
1;5600;6537.429581227243;6616.5211154369645;8018.655375299193;0.29999999901696;0.3;0.06;0.3;1.0E-4
1;5700;6537.429581227243;6604.508288827842;7300.67979732514;0.06;0.3;0.011999999999999981;0.2904;0.3
1;5800;6537.422072026001;6590.504764649301;7589.07745259214;0.3;0.3;0.3;0.3;0.3
1;5900;6537.422072026001;6579.388309779374;7225.496934889876;0.3;0.3;0.3;0.3;0.3
1;6000;6537.422072026001;6621.698173352085;8296.589613442036;0.3;0.3;0.059984639960678404;0.3;0.3
1;6100;6537.422072026001;6596.310859202386;7422.218541720676;0.3;0.3;0.29998463999999997;0.3;0.3
1;6200;6537.422072026001;6609.242117060199;7534.424972642749;0.3;0.3;0.3;0.3;0.3
1;6300;6537.422072026001;6603.988566768766;7402.598359223251;0.3;0.3;0.0023231999606784003;0.3;0.3
1;6400;6537.422072026001;6598.526016003282;7494.795702396051;0.2999999950848;0.3;0.2903999999999994;0.3;0.3
1;6500;6537.422072026001;6609.323286741714;7600.200350090978;0.3;0.3;0.29808;0.3;0.3
1;6600;6537.422072026001;6575.114166449572;7630.93635768713;0.299999975424;0.3;0.05999999999999698;0.3;0.3
1;6700;6537.422072026001;6598.16124766659;7492.076292395445;0.3;0.3;0.29998463999968544;0.3;0.3
1;6800;6549.877135636131;6599.117949997919;7561.180185586964;9.523793793961588E-5;0.3;9.596931932212346E-5;0.2999999999999371;0.30064
1;6900;6542.404034559629;6612.433439414508;8287.403159842064;9.523793793961588E-5;0.3;0.29039999508479997;0.3;0.3
1;7000;6541.061070497589;6591.034411423202;7311.634028799488;9.523793793961588E-5;0.3;0.2999999999999975;0.3;0.3
1;7100;6541.061070497589;6602.84208618739;8668.695962783759;0.3;0.3;0.06;0.3;0.3
1;7200;6541.061070497589;6639.502951935604;8415.959954470922;0.3;0.3;0.0596159704694783;0.3;0.3
1;7300;6541.061070497589;6631.4465955567;8385.380148286547;0.29999999901696;0.3;0.05999999999213568;0.3;0.3
1;7400;6541.061070497589;6598.832177016707;7352.181120334548;0.29999999999842714;0.3;0.29999999980181863;0.3;0.3
1;7500;6541.061070497589;6633.952986917178;7694.625498386398;0.3;0.3;0.298079999803392;0.3;0.3
1;7600;6541.061070497589;6595.245380707115;7439.008640063016;0.299996928;0.3;0.29039999999842714;0.3;0.3
1;7700;6541.061070497589;6606.110729629447;7504.663051019109;0.3;0.3;0.3;0.3;0.3
1;7800;6541.061070497589;6613.445840380196;7311.634028799488;0.3;0.3;0.29999999999213567;0.3;0.3
1;7900;6541.061070497589;6617.420790797703;7792.935523316268;0.3;0.3;0.059984025600000004;0.3;0.3
1;8000;6551.251725998582;6607.698119092204;7449.870558243237;0.30000512;0.3;0.29999999999842714;0.3;0.3
1;8100;6544.441220816785;6595.478375396761;7612.11566037776;0.3;0.3;0.2999993855921352;0.3;0.3
1;8200;6544.441220816785;6644.143784135856;8222.808185746359;0.06;0.3;0.05961597542242714;0.3;0.3
1;8300;6544.441220816785;6603.865139768492;7410.277345881093;0.3;0.3;0.299999999999997;0.3;0.3
1;8400;6544.441220816785;6586.219313783509;7292.529745137319;0.3;0.3;0.3;0.3;0.3
1;8500;6544.441220816785;6607.60301457895;7856.913042734587;0.299999999803392;0.3;0.29961599508479997;0.3;0.3
1;8600;6544.441220816785;6597.28083488498;7214.571397079203;0.299616;0.3;0.011999975424000001;0.3;0.3
1;8700;6544.441220816785;6612.178645828995;7574.1407307347245;0.3;0.3;0.06;0.3;0.3
1;8800;6544.441220816785;6602.561457851955;7725.543434773575;0.3;0.3;0.2999232;0.3;0.3
1;8900;6544.441220816785;6603.533967773269;7649.808972256431;0.3;0.3;0.2999999999999975;0.3;0.3
1;9000;6544.441220816785;6612.185872502712;7833.939777447693;0.3;0.3;0.298079999803392;0.3;0.3
1;9100;6620.420388415661;7022.523626877908;8268.832663460218;0.05039938064359045;0.057701115045477896;1.5384615321704864E-5;0.299999975424;1.0E-4
1;9200;6526.185983067474;6608.145144901854;8188.443959336765;9.536102241444761E-5;0.3;0.2980769230847999;0.3;2.0E-5
1;9300;6524.059579851482;6588.40210140484;7459.02477578937;0.05961599901696;0.3;0.2999993856;0.3;0.3
1;9400;6523.940147992656;6600.311450590162;7777.5562609568915;0.3;0.3;0.05999987711998742;0.3;0.3
1;9500;6523.938664422308;6580.383410492179;7419.0436892715525;0.06;0.3;0.29808;0.3;0.3
