ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		8,34		4,23	3,50	0,00		3,87		0
-1.0_0.0_21__2		6,31		2,84	1,21	0,00		1,92		0
-1.0_0.0_21__4		6,05		2,64	0,86	0,00		1,79		0
-1.0_0.0_21__6		6,31		2,49	1,53	0,00		2,14		0
-1.0_0.0_21__8		6,80		3,35	2,37	0,00		2,77		0
-1.0_0.3_21__10		12,10		8,03	4,71	0,00		5,58		0
-1.0_0.3_21__2		9,18		5,38	1,51	0,00		3,24		0
-1.0_0.3_21__4		8,64		4,08	1,76	0,00		2,82		0
-1.0_0.3_21__6		8,76		4,16	2,01	0,00		3,11		0
-1.0_0.3_21__8		9,48		5,36	3,04	0,00		3,94		0
-1.0_0.5_21__10		17,28		8,96	7,94	0,00		8,28		0
-1.0_0.5_21__2		12,43		6,56	2,10	0,00		4,32		0
-1.0_0.5_21__4		10,58		4,86	1,38	0,00		3,29		0
-1.0_0.5_21__6		10,61		5,54	2,09	0,00		3,41		0
-1.0_0.5_21__8		12,04		7,28	3,96	0,00		4,93		0
-1.0_0.7_21__10		19,25		8,99	3,00	0,00		8,39		0
-1.0_0.7_21__2		18,43		11,70	3,37	0,00		6,67		0
-1.0_0.7_21__4		14,86		5,98	1,42	0,00		4,17		0
-1.0_0.7_21__6		15,24		6,06	2,03	0,00		4,54		0
-1.0_0.7_21__8		16,17		7,43	4,10	0,00		6,48		0
-1.0_1.0_21__10		6,59		2,99	2,67	0,00		2,85		0
-1.0_1.0_21__2		4,89		1,55	0,87	0,00		1,20		0
-1.0_1.0_21__4		4,76		1,45	0,87	0,00		1,18		0
-1.0_1.0_21__6		4,91		1,67	1,26	0,00		1,43		0
-1.0_1.0_21__8		5,40		2,17	1,84	0,00		2,01		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		3,35		1,22	0,74	0,00		0,98		0
-1.0_0.0_21__2		2,98		1,11	0,21	0,00		0,65		0
-1.0_0.0_21__4		3,51		1,52	0,66	0,00		1,17		0
-1.0_0.0_21__6		3,57		1,61	0,85	0,00		1,24		0
-1.0_0.0_21__8		3,94		1,99	1,39	0,00		1,64		0
-1.0_0.3_21__10		4,90		2,10	0,97	0,00		1,55		0
-1.0_0.3_21__2		4,16		1,84	0,35	0,00		1,01		0
-1.0_0.3_21__4		4,84		2,95	0,86	0,00		1,68		0
-1.0_0.3_21__6		5,26		2,63	1,41	0,00		2,05		0
-1.0_0.3_21__8		5,62		3,41	1,81	0,00		2,41		0
-1.0_0.5_21__10		6,04		2,49	0,87	0,00		1,68		0
-1.0_0.5_21__2		5,66		2,23	-0,08	-0,08		1,38		1
-1.0_0.5_21__4		6,58		3,38	1,56	0,00		2,30		0
-1.0_0.5_21__6		6,62		3,70	1,69	0,00		2,44		0
-1.0_0.5_21__8		7,38		4,27	2,25	0,00		3,23		0
-1.0_0.7_21__10		7,60		2,17	0,43	0,00		1,30		0
-1.0_0.7_21__2		8,42		4,73	0,19	0,00		2,14		0
-1.0_0.7_21__4		9,40		4,81	1,45	0,00		3,05		0
-1.0_0.7_21__6		9,74		4,70	1,96	0,00		3,33		0
-1.0_0.7_21__8		10,42		6,44	2,77	0,00		4,34		0
-1.0_1.0_21__10		2,69		0,84	0,50	0,00		0,71		0
-1.0_1.0_21__2		2,33		0,52	0,16	0,00		0,37		0
-1.0_1.0_21__4		2,71		0,95	0,58	0,00		0,74		0
-1.0_1.0_21__6		2,83		1,14	0,70	0,00		0,89		0
-1.0_1.0_21__8		3,06		1,30	1,00	0,00		1,15		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
