ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		6,57		3,10	2,36	0,00		2,75		0
-1.0_0.0_21__2		5,10		2,39	0,58	0,00		1,40		0
-1.0_0.0_21__4		5,24		2,23	1,00	0,00		1,67		0
-1.0_0.0_21__6		5,35		2,44	1,55	0,00		1,83		0
-1.0_0.0_21__8		5,55		2,41	1,67	0,00		2,10		0
-1.0_0.3_21__10		9,60		6,29	2,77	0,00		3,93		0
-1.0_0.3_21__2		8,09		4,95	0,98	0,00		2,98		0
-1.0_0.3_21__4		8,04		4,37	1,07	0,00		3,07		0
-1.0_0.3_21__6		8,07		4,07	1,84	0,00		3,14		0
-1.0_0.3_21__8		8,01		4,55	2,21	0,00		3,20		0
-1.0_0.5_21__10		13,12		6,34	3,47	0,00		5,86		0
-1.0_0.5_21__2		11,31		6,42	1,17	0,00		4,26		0
-1.0_0.5_21__4		10,55		6,00	1,61	0,00		3,75		0
-1.0_0.5_21__6		10,52		5,41	2,14	0,00		4,01		0
-1.0_0.5_21__8		10,10		4,76	2,58	0,00		3,94		0
-1.0_0.7_21__10		14,37		6,26	1,99	0,00		5,26		0
-1.0_0.7_21__2		15,40		10,28	1,58	0,00		5,47		0
-1.0_0.7_21__4		13,16		7,00	1,50	0,00		3,94		0
-1.0_0.7_21__6		13,25		6,67	2,43	0,00		4,34		0
-1.0_0.7_21__8		13,80		6,25	3,42	0,00		5,35		0
-1.0_1.0_21__10		4,93		2,04	1,62	0,00		1,78		0
-1.0_1.0_21__2		3,76		1,00	0,21	0,00		0,63		0
-1.0_1.0_21__4		4,00		1,36	0,60	0,00		0,96		0
-1.0_1.0_21__6		4,10		1,40	0,88	0,00		1,16		0
-1.0_1.0_21__8		4,23		1,53	1,18	0,00		1,37		0



ALPHA = 2.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		2,84		1,14	0,58	0,00		0,87		0
-1.0_0.0_21__2		2,47		1,25	0,05	0,00		0,55		0
-1.0_0.0_21__4		2,85		1,38	0,57	0,00		0,93		0
-1.0_0.0_21__6		2,97		1,42	0,70	0,00		1,05		0
-1.0_0.0_21__8		3,09		1,62	0,76	0,00		1,19		0
-1.0_0.3_21__10		4,34		2,16	0,86	0,00		1,50		0
-1.0_0.3_21__2		3,98		2,24	0,07	0,00		1,28		0
-1.0_0.3_21__4		4,46		2,83	0,85	0,00		1,70		0
-1.0_0.3_21__6		4,37		2,27	1,21	0,00		1,74		0
-1.0_0.3_21__8		4,51		2,83	1,29	0,00		1,84		0
-1.0_0.5_21__10		5,38		2,21	0,83	0,00		1,69		0
-1.0_0.5_21__2		5,33		2,82	0,67	0,00		1,75		0
-1.0_0.5_21__4		5,89		3,21	0,71	0,00		2,25		0
-1.0_0.5_21__6		5,91		3,21	1,40	0,00		2,34		0
-1.0_0.5_21__8		6,19		3,40	1,66	0,00		2,61		0
-1.0_0.7_21__10		6,75		2,47	0,35	0,00		1,36		0
-1.0_0.7_21__2		7,40		4,07	0,03	0,00		2,06		0
-1.0_0.7_21__4		8,17		4,40	1,48	0,00		2,78		0
-1.0_0.7_21__6		7,96		3,84	1,35	0,00		2,81		0
-1.0_0.7_21__8		8,72		5,03	2,46	0,00		3,44		0
-1.0_1.0_21__10		2,19		0,68	0,42	0,00		0,55		0
-1.0_1.0_21__2		1,83		0,47	0,03	0,00		0,20		0
-1.0_1.0_21__4		2,21		0,88	0,33	0,00		0,58		0
-1.0_1.0_21__6		2,32		0,92	0,48	0,00		0,71		0
-1.0_1.0_21__8		2,38		0,92	0,73	0,00		0,79		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		5,60		2,54	1,88	0,00		2,13		0
-1.0_0.0_21__2		4,67		2,17	-0,08	-0,08		1,34		1
-1.0_0.0_21__4		4,87		2,30	0,89	0,00		1,57		0
-1.0_0.0_21__6		4,97		2,09	0,96	0,00		1,74		0
-1.0_0.0_21__8		5,05		2,21	1,35	0,00		1,92		0
-1.0_0.3_21__10		8,30		5,58	2,46	0,00		3,27		0
-1.0_0.3_21__2		7,44		4,97	0,82	0,00		2,69		0
-1.0_0.3_21__4		7,58		4,62	1,30	0,00		2,90		0
-1.0_0.3_21__6		7,77		4,19	1,36	0,00		3,18		0
-1.0_0.3_21__8		7,06		4,46	1,72	0,00		2,75		0
-1.0_0.5_21__10		11,59		5,79	3,37	0,00		4,98		0
-1.0_0.5_21__2		10,26		6,32	1,34	0,00		3,86		0
-1.0_0.5_21__4		9,78		5,60	1,65	0,00		3,68		0
-1.0_0.5_21__6		9,54		5,25	1,70	0,00		3,66		0
-1.0_0.5_21__8		9,16		5,81	2,26	0,00		3,48		0
-1.0_0.7_21__10		12,53		5,32	3,43	0,00		4,12		0
-1.0_0.7_21__2		15,18		10,92	2,69	0,00		6,05		0
-1.0_0.7_21__4		13,43		7,80	1,58	0,00		4,72		0
-1.0_0.7_21__6		12,62		6,74	2,12	0,00		4,36		0
-1.0_0.7_21__8		12,75		6,00	2,61	0,00		4,94		0
-1.0_1.0_21__10		4,27		1,57	1,25	0,00		1,37		0
-1.0_1.0_21__2		3,43		1,14	0,09	0,00		0,54		0
-1.0_1.0_21__4		3,65		1,38	0,48	0,00		0,85		0
-1.0_1.0_21__6		3,71		1,26	0,70	0,00		1,00		0
-1.0_1.0_21__8		3,76		1,36	0,92	0,00		1,13		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		2,57		1,10	0,50	0,00		0,80		0
-1.0_0.0_21__2		2,18		0,88	0,01	0,00		0,44		0
-1.0_0.0_21__4		2,67		1,41	0,41	0,00		0,91		0
-1.0_0.0_21__6		2,73		1,43	0,56	0,00		0,99		0
-1.0_0.0_21__8		2,74		1,29	0,55	0,00		1,02		0
-1.0_0.3_21__10		3,88		1,99	0,79	0,00		1,37		0
-1.0_0.3_21__2		3,68		2,54	-0,38	-0,38		1,29		1
-1.0_0.3_21__4		4,01		2,28	0,67	0,00		1,58		0
-1.0_0.3_21__6		4,06		2,44	0,94	0,00		1,63		0
-1.0_0.3_21__8		3,99		2,33	0,86	0,00		1,59		0
-1.0_0.5_21__10		5,01		2,28	0,61	0,00		1,64		0
-1.0_0.5_21__2		4,79		2,85	0,20	0,00		1,39		0
-1.0_0.5_21__4		5,39		3,30	0,46	0,00		2,15		0
-1.0_0.5_21__6		5,54		3,22	1,03	0,00		2,29		0
-1.0_0.5_21__8		5,75		3,09	1,46	0,00		2,42		0
-1.0_0.7_21__10		6,42		2,78	0,36	0,00		1,55		0
-1.0_0.7_21__2		6,59		3,74	-0,14	-0,14		1,80		1
-1.0_0.7_21__4		7,81		4,69	0,92	0,00		2,75		0
-1.0_0.7_21__6		7,65		4,49	1,08	0,00		2,87		0
-1.0_0.7_21__8		7,80		3,95	1,84	0,00		3,04		0
-1.0_1.0_21__10		1,97		0,61	0,36	0,00		0,48		0
-1.0_1.0_21__2		1,56		0,37	-0,11	-0,05		0,12		6
-1.0_1.0_21__4		1,99		0,72	0,32	0,00		0,50		0
-1.0_1.0_21__6		2,00		0,77	0,32	0,00		0,53		0
-1.0_1.0_21__8		2,07		0,76	0,43	0,00		0,62		0



ALPHA = 3.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		5,20		2,35	1,39	0,00		1,92		0
-1.0_0.0_21__2		4,28		2,10	0,27	0,00		1,09		0
-1.0_0.0_21__4		4,48		2,09	0,46	0,00		1,36		0
-1.0_0.0_21__6		4,56		2,16	1,07	0,00		1,52		0
-1.0_0.0_21__8		4,71		2,20	1,27	0,00		1,74		0
-1.0_0.3_21__10		7,54		5,11	2,00	0,00		2,82		0
-1.0_0.3_21__2		6,96		4,46	0,51	0,00		2,37		0
-1.0_0.3_21__4		7,15		4,09	1,47	0,00		2,83		0
-1.0_0.3_21__6		7,55		4,17	1,39	0,00		3,19		0
-1.0_0.3_21__8		6,84		4,37	1,54	0,00		2,75		0
-1.0_0.5_21__10		11,18		5,32	2,19	0,00		4,72		0
-1.0_0.5_21__2		9,26		5,36	0,89	0,00		3,20		0
-1.0_0.5_21__4		9,79		5,67	1,57	0,00		3,75		0
-1.0_0.5_21__6		9,14		5,36	1,48	0,00		3,57		0
-1.0_0.5_21__8		8,53		5,43	1,92	0,00		3,14		0
-1.0_0.7_21__10		11,50		5,08	1,19	0,00		3,53		0
-1.0_0.7_21__2		13,90		10,25	0,39	0,00		5,24		0
-1.0_0.7_21__4		13,22		8,01	1,39	0,00		4,77		0
-1.0_0.7_21__6		12,16		6,76	2,30	0,00		4,24		0
-1.0_0.7_21__8		11,87		5,85	2,26	0,00		4,54		0
-1.0_1.0_21__10		3,95		1,35	0,99	0,00		1,21		0
-1.0_1.0_21__2		3,16		0,85	0,16	0,00		0,43		0
-1.0_1.0_21__4		3,39		1,15	0,49	0,00		0,74		0
-1.0_1.0_21__6		3,46		1,09	0,67	0,00		0,89		0
-1.0_1.0_21__8		3,51		1,20	0,85	0,00		1,02		0



ALPHA = 3.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		2,36		0,98	0,42	0,00		0,68		0
-1.0_0.0_21__2		2,01		0,86	-0,14	-0,11		0,45		4
-1.0_0.0_21__4		2,44		1,38	0,15	0,00		0,78		0
-1.0_0.0_21__6		2,42		1,28	0,44	0,00		0,79		0
-1.0_0.0_21__8		2,53		1,18	0,66	0,00		0,92		0
-1.0_0.3_21__10		3,80		2,46	0,67	0,00		1,37		0
-1.0_0.3_21__2		3,05		2,17	-0,48	-0,48		0,81		1
-1.0_0.3_21__4		4,01		2,64	0,78	0,00		1,65		0
-1.0_0.3_21__6		4,15		2,38	1,25	0,00		1,81		0
-1.0_0.3_21__8		3,88		2,47	0,98	0,00		1,62		0
-1.0_0.5_21__10		4,74		2,32	0,57	0,00		1,51		0
-1.0_0.5_21__2		4,40		2,63	0,05	0,00		1,24		0
-1.0_0.5_21__4		5,34		3,35	0,64	0,00		2,16		0
-1.0_0.5_21__6		5,23		3,44	1,10	0,00		2,12		0
-1.0_0.5_21__8		5,09		2,99	1,09	0,00		2,10		0
-1.0_0.7_21__10		5,88		2,67	0,27	0,00		1,37		0
-1.0_0.7_21__2		6,04		3,62	-0,70	-0,70		1,70		1
-1.0_0.7_21__4		7,59		4,37	1,10	0,00		3,03		0
-1.0_0.7_21__6		7,18		4,98	1,59	0,00		2,68		0
-1.0_0.7_21__8		7,22		3,69	1,61	0,00		2,81		0
-1.0_1.0_21__10		1,81		0,53	0,21	0,00		0,41		0
-1.0_1.0_21__2		1,44		0,26	-0,22	-0,10		0,12		11
-1.0_1.0_21__4		1,78		0,59	0,21	0,00		0,38		0
-1.0_1.0_21__6		1,89		0,68	0,31	0,00		0,51		0
-1.0_1.0_21__8		1,88		0,66	0,40	0,00		0,52		0
