ALPHA = 1.5
JOBS COUNT = 50

block size|small| Ea1  | Da1  | Ea2  | Da2
2         | 0.7 | 51.01 | 0.00 | 5.55 | 0.48
4         | 0.7 | 25.74 | 0.00 | 5.94 | 0.26
6         | 0.7 | 17.37 | 0.00 | 5.69 | 0.23
8         | 0.7 | 13.24 | 0.00 | 5.66 | 0.13
10        | 0.7 | 10.78 | 0.00 | 4.87 | 0.11
2         | 1.0 | 50.53 | 0.00 | 2.90 | 0.11
4         | 1.0 | 25.35 | 0.00 | 3.12 | 0.16
6         | 1.0 | 16.98 | 0.00 | 2.90 | 0.08
8         | 1.0 | 12.81 | 0.00 | 2.99 | 0.04
10        | 1.0 | 10.34 | 0.00 | 2.95 | 0.04
avg       |     | 23,34 | 0,00 | 3,84 | 0,14


ALPHA = 2.5
JOBS COUNT = 50

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 50.99 | 0.00 | 4.78 | 0.28
4         | 0.0 | 25.60 | 0.00 | 4.48 | 0.14
6         | 0.0 | 17.17 | 0.00 | 4.30 | 0.05
8         | 0.0 | 12.98 | 0.00 | 4.25 | 0.04
10        | 0.0 | 10.53 | 0.00 | 4.61 | 0.04
2         | 0.3 | 51.32 | 0.00 | 7.47 | 0.51
4         | 0.3 | 25.80 | 0.00 | 6.48 | 0.63
6         | 0.3 | 17.37 | 0.00 | 6.30 | 0.42
8         | 0.3 | 13.17 | 0.00 | 6.25 | 0.32
10        | 0.3 | 10.80 | 0.00 | 6.54 | 0.34
2         | 0.5 | 51.67 | 0.01 | 9.21 | 1.30
4         | 0.5 | 26.01 | 0.00 | 8.00 | 0.75
6         | 0.5 | 17.56 | 0.01 | 7.59 | 0.72
8         | 0.5 | 13.38 | 0.01 | 7.39 | 0.50
10        | 0.5 | 11.02 | 0.01 | 8.33 | 0.18
2         | 0.7 | 52.00 | 0.01 | 11.06| 2.31
4         | 0.7 | 26.33 | 0.01 | 9.98 | 0.88
6         | 0.7 | 17.86 | 0.01 | 9.41 | 1.43
8         | 0.7 | 13.62 | 0.01 | 8.91 | 0.58
10        | 0.7 | 11.13 | 0.02 | 7.47 | 0.34
