ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.7_22__6		17,60		12,64	10,43	0,00		11,81		0
-1.0_0.7_22__8		13,48		9,03	6,38	0,00		8,24		0
-1.0_1.0_22__10		10,35		8,26	8,19	0,00		8,22		0
-1.0_1.0_22__2		50,32		47,50	47,40	0,00		47,44		0
-1.0_1.0_22__4		25,26		22,91	22,82	0,00		22,87		0
-1.0_1.0_22__6		16,94		14,78	14,70	0,00		14,74		0
-1.0_1.0_22__8		12,80		10,74	10,66	0,00		10,71		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,47		7,42	7,37	0,00		7,39		0
-1.0_0.0_22__2		50,71		46,55	46,47	0,00		46,50		0
-1.0_0.0_22__4		25,46		22,09	22,05	0,00		22,07		0
-1.0_0.0_22__6		17,08		14,04	13,99	0,00		14,02		0
-1.0_0.0_22__8		12,90		10,06	10,02	0,00		10,04		0
-1.0_0.3_22__10		10,85		6,88	4,84	0,00		6,04		0
-1.0_0.3_22__2		50,98		45,77	43,87	0,00		45,22		0
-1.0_0.3_22__4		25,67		21,63	20,08	0,00		20,97		0
-1.0_0.3_22__6		17,29		13,39	12,34	0,00		12,99		0
-1.0_0.3_22__8		13,13		9,29	8,58	0,00		9,04		0
-1.0_0.5_22__10		11,22		6,12	2,42	0,00		4,90		0
-1.0_0.5_22__2		51,35		44,84	41,31	0,00		43,49		0
-1.0_0.5_22__4		25,96		20,60	16,44	0,00		19,55		0
-1.0_0.5_22__6		17,55		12,41	11,51	0,00		11,85		0
-1.0_0.5_22__8		13,37		8,68	7,63	0,00		8,13		0
-1.0_0.7_22__10		12,04		7,20	2,24	0,00		2,76		0
-1.0_0.7_22__2		51,95		43,11	38,47	0,00		40,76		0
-1.0_0.7_22__4		26,41		19,63	14,32	0,00		17,56		0
-1.0_0.7_22__6		18,06		11,63	8,63	0,00		9,92		0
-1.0_0.7_22__8		13,86		7,75	3,74	0,00		6,52		0
-1.0_1.0_22__10		10,53		7,24	7,16	0,00		7,20		0
-1.0_1.0_22__2		50,77		46,30	46,16	0,00		46,23		0
-1.0_1.0_22__4		25,50		21,91	21,78	0,00		21,83		0
-1.0_1.0_22__6		17,12		13,85	13,73	0,00		13,81		0
-1.0_1.0_22__8		12,95		9,88	9,80	0,00		9,84		0



ALPHA = 2.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,21		8,59	8,57	0,00		8,58		0
-1.0_0.0_22__2		50,37		48,17	48,15	0,00		48,16		0
-1.0_0.0_22__4		25,23		23,40	23,38	0,00		23,39		0
-1.0_0.0_22__6		16,87		15,19	15,16	0,00		15,18		0
-1.0_0.0_22__8		12,69		11,10	11,08	0,00		11,09		0
-1.0_0.3_22__10		10,34		8,10	7,48	0,00		7,94		0
-1.0_0.3_22__2		50,52		47,64	47,17	0,00		47,42		0
-1.0_0.3_22__4		25,35		22,96	22,47	0,00		22,71		0
-1.0_0.3_22__6		16,97		14,79	14,48	0,00		14,60		0
-1.0_0.3_22__8		12,80		10,58	10,35	0,00		10,51		0
-1.0_0.5_22__10		10,50		7,51	6,34	0,00		7,29		0
-1.0_0.5_22__2		50,70		47,24	46,06	0,00		46,56		0
-1.0_0.5_22__4		25,47		22,50	21,49	0,00		22,00		0
-1.0_0.5_22__6		17,10		14,33	13,53	0,00		13,92		0
-1.0_0.5_22__8		12,94		10,13	9,37	0,00		9,85		0
-1.0_0.7_22__10		10,91		6,42	4,15	0,00		5,93		0
-1.0_0.7_22__2		51,07		45,79	43,71	0,00		44,79		0
-1.0_0.7_22__4		25,78		21,24	19,39	0,00		20,45		0
-1.0_0.7_22__6		17,37		13,52	11,99	0,00		12,68		0
-1.0_0.7_22__8		13,25		9,40	7,08	0,00		8,62		0
-1.0_1.0_22__10		10,23		8,49	8,43	0,00		8,47		0
-1.0_1.0_22__2		50,41		48,04	47,96	0,00		48,00		0
-1.0_1.0_22__4		25,26		23,28	23,23	0,00		23,25		0
-1.0_1.0_22__6		16,89		15,09	15,02	0,00		15,05		0
-1.0_1.0_22__8		12,72		10,99	10,95	0,00		10,97		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,39		7,56	7,51	0,00		7,54		0
-1.0_0.0_22__2		50,79		46,93	46,88	0,00		46,90		0
-1.0_0.0_22__4		25,46		22,35	22,31	0,00		22,33		0
-1.0_0.0_22__6		17,04		14,24	14,19	0,00		14,21		0
-1.0_0.0_22__8		12,84		10,21	10,19	0,00		10,20		0
-1.0_0.3_22__10		10,66		7,03	5,00	0,00		6,35		0
-1.0_0.3_22__2		51,11		46,38	44,89	0,00		45,69		0
-1.0_0.3_22__4		25,67		21,65	20,91	0,00		21,27		0
-1.0_0.3_22__6		17,24		13,96	12,61	0,00		13,19		0
-1.0_0.3_22__8		13,03		9,48	8,83	0,00		9,31		0
-1.0_0.5_22__10		10,96		6,27	4,90	0,00		5,25		0
-1.0_0.5_22__2		51,50		45,44	43,29	0,00		44,22		0
-1.0_0.5_22__4		25,93		20,97	18,25	0,00		20,08		0
-1.0_0.5_22__6		17,47		12,71	10,88	0,00		12,15		0
-1.0_0.5_22__8		13,27		8,86	6,60	0,00		8,27		0
-1.0_0.7_22__10		11,72		4,99	2,50	0,00		2,87		0
-1.0_0.7_22__2		52,15		43,38	39,73	0,00		41,84		0
-1.0_0.7_22__4		26,43		19,94	15,41	0,00		17,94		0
-1.0_0.7_22__6		17,93		11,89	9,11	0,00		10,30		0
-1.0_0.7_22__8		13,67		7,99	4,32	0,00		6,77		0
-1.0_1.0_22__10		10,43		7,42	7,27	0,00		7,35		0
-1.0_1.0_22__2		50,86		46,74	46,57	0,00		46,65		0
-1.0_1.0_22__4		25,50		22,18	22,08	0,00		22,12		0
-1.0_1.0_22__6		17,08		14,08	13,97	0,00		14,02		0
-1.0_1.0_22__8		12,88		10,09	9,97	0,00		10,02		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,17		8,70	8,67	0,00		8,68		0
-1.0_0.0_22__2		50,41		48,39	48,37	0,00		48,38		0
-1.0_0.0_22__4		25,23		23,56	23,54	0,00		23,55		0
-1.0_0.0_22__6		16,85		15,31	15,30	0,00		15,30		0
-1.0_0.0_22__8		12,67		11,21	11,19	0,00		11,20		0
-1.0_0.3_22__10		10,27		8,40	7,95	0,00		8,11		0
-1.0_0.3_22__2		50,58		47,98	47,50	0,00		47,73		0
-1.0_0.3_22__4		25,34		23,15	22,83	0,00		22,98		0
-1.0_0.3_22__6		16,94		14,94	14,50	0,00		14,76		0
-1.0_0.3_22__8		12,75		10,86	10,28	0,00		10,67		0
-1.0_0.5_22__10		10,40		7,94	7,17	0,00		7,49		0
-1.0_0.5_22__2		50,80		47,29	45,91	0,00		46,85		0
-1.0_0.5_22__4		25,46		22,71	21,81	0,00		22,35		0
-1.0_0.5_22__6		17,06		14,64	13,76	0,00		14,12		0
-1.0_0.5_22__8		12,89		10,51	9,59	0,00		9,97		0
-1.0_0.7_22__10		10,72		6,59	4,48	0,00		6,21		0
-1.0_0.7_22__2		51,18		46,25	44,74	0,00		45,41		0
-1.0_0.7_22__4		25,79		21,57	19,34	0,00		20,75		0
-1.0_0.7_22__6		17,32		13,43	12,34	0,00		12,85		0
-1.0_0.7_22__8		13,13		9,62	8,37	0,00		8,91		0
-1.0_1.0_22__10		10,19		8,61	8,55	0,00		8,58		0
-1.0_1.0_22__2		50,44		48,28	48,22	0,00		48,25		0
-1.0_1.0_22__4		25,26		23,46	23,40	0,00		23,43		0
-1.0_1.0_22__6		16,87		15,22	15,16	0,00		15,19		0
-1.0_1.0_22__8		12,69		11,11	11,08	0,00		11,09		0



ALPHA = 3.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,34		7,65	7,61	0,00		7,63		0
-1.0_0.0_22__2		50,84		47,15	47,11	0,00		47,13		0
-1.0_0.0_22__4		25,46		22,49	22,46	0,00		22,48		0
-1.0_0.0_22__6		17,02		14,35	14,31	0,00		14,33		0
-1.0_0.0_22__8		12,81		10,31	10,29	0,00		10,30		0
-1.0_0.3_22__10		10,57		7,17	5,12	0,00		6,50		0
-1.0_0.3_22__2		51,20		46,62	44,92	0,00		45,91		0
-1.0_0.3_22__4		25,66		22,09	20,70	0,00		21,53		0
-1.0_0.3_22__6		17,21		13,76	12,81	0,00		13,35		0
-1.0_0.3_22__8		12,98		9,99	8,96	0,00		9,42		0
-1.0_0.5_22__10		10,87		6,37	4,99	0,00		5,27		0
-1.0_0.5_22__2		51,59		45,96	43,26	0,00		44,65		0
-1.0_0.5_22__4		25,95		21,15	18,48	0,00		20,20		0
-1.0_0.5_22__6		17,42		13,35	11,03	0,00		12,37		0
-1.0_0.5_22__8		13,19		9,56	6,72	0,00		8,45		0
-1.0_0.7_22__10		11,48		7,47	2,70	0,00		3,13		0
-1.0_0.7_22__2		52,33		44,56	40,33	0,00		42,28		0
-1.0_0.7_22__4		26,45		20,19	15,87	0,00		18,17		0
-1.0_0.7_22__6		17,84		12,02	9,36	0,00		10,57		0
-1.0_0.7_22__8		13,54		8,12	4,52	0,00		7,00		0
-1.0_1.0_22__10		10,37		7,53	7,43	0,00		7,46		0
-1.0_1.0_22__2		50,90		46,96	46,85	0,00		46,90		0
-1.0_1.0_22__4		25,50		22,35	22,24	0,00		22,29		0
-1.0_1.0_22__6		17,06		14,23	14,09	0,00		14,15		0
-1.0_1.0_22__8		12,85		10,17	10,08	0,00		10,13		0



ALPHA = 3.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,15		8,75	8,73	0,00		8,74		0
-1.0_0.0_22__2		50,43		48,52	48,50	0,00		48,51		0
-1.0_0.0_22__4		25,24		23,65	23,63	0,00		23,64		0
-1.0_0.0_22__6		16,84		15,39	15,37	0,00		15,38		0
-1.0_0.0_22__8		12,65		11,27	11,26	0,00		11,26		0
-1.0_0.3_22__10		10,25		8,29	7,71	0,00		8,14		0
-1.0_0.3_22__2		50,60		48,12	47,63	0,00		47,92		0
-1.0_0.3_22__4		25,35		23,17	22,85	0,00		23,05		0
-1.0_0.3_22__6		16,94		15,03	14,41	0,00		14,83		0
-1.0_0.3_22__8		12,73		10,94	10,59	0,00		10,76		0
-1.0_0.5_22__10		10,36		8,03	7,25	0,00		7,54		0
-1.0_0.5_22__2		50,84		47,63	46,55	0,00		47,12		0
-1.0_0.5_22__4		25,48		22,86	21,97	0,00		22,39		0
-1.0_0.5_22__6		17,05		14,62	13,56	0,00		14,19		0
-1.0_0.5_22__8		12,83		10,38	9,73	0,00		10,20		0
-1.0_0.7_22__10		10,62		7,28	5,77	0,00		6,36		0
-1.0_0.7_22__2		51,22		46,55	45,00	0,00		45,84		0
-1.0_0.7_22__4		25,74		22,00	20,23	0,00		21,19		0
-1.0_0.7_22__6		17,27		13,60	11,24	0,00		13,08		0
-1.0_0.7_22__8		13,06		9,73	8,55	0,00		9,06		0
-1.0_1.0_22__10		10,17		8,67	8,62	0,00		8,65		0
-1.0_1.0_22__2		50,47		48,41	48,37	0,00		48,39		0
-1.0_1.0_22__4		25,26		23,56	23,51	0,00		23,53		0
-1.0_1.0_22__6		16,86		15,31	15,25	0,00		15,28		0
-1.0_1.0_22__8		12,67		11,18	11,14	0,00		11,16		0
