ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,67		7,12	7,07	0,00		7,10		0
-1.0_0.0_22__2		50,55		45,70	45,63	0,00		45,67		0
-1.0_0.0_22__4		25,47		21,56	21,49	0,00		21,53		0
-1.0_0.0_22__6		17,17		13,65	13,58	0,00		13,60		0
-1.0_0.0_22__8		13,04		9,73	9,69	0,00		9,71		0
-1.0_0.3_22__10		11,15		6,56	4,51	0,00		5,72		0
-1.0_0.3_22__2		50,75		45,00	42,63	0,00		44,18		0
-1.0_0.3_22__4		25,70		20,75	19,29	0,00		20,21		0
-1.0_0.3_22__6		17,42		12,98	11,83	0,00		12,51		0
-1.0_0.3_22__8		13,32		8,91	8,19	0,00		8,69		0
-1.0_0.5_22__10		11,80		4,53	1,77	0,00		4,15		0
-1.0_0.5_22__2		51,02		43,78	40,33	0,00		42,14		0
-1.0_0.5_22__4		25,90		19,92	18,59	0,00		19,12		0
-1.0_0.5_22__6		17,69		12,50	9,89	0,00		11,44		0
-1.0_0.5_22__8		13,64		8,27	5,70	0,00		7,69		0
-1.0_0.7_22__10		12,67		6,81	1,76	0,00		2,34		0
-1.0_0.7_22__2		51,52		41,70	34,62	0,00		38,50		0
-1.0_0.7_22__4		26,45		17,80	15,01	0,00		16,48		0
-1.0_0.7_22__6		18,41		10,97	7,73	0,00		8,97		0
-1.0_0.7_22__8		14,25		7,33	3,10	0,00		6,00		0
-1.0_1.0_22__10		10,75		6,98	6,75	0,00		6,87		0
-1.0_1.0_22__2		50,60		45,41	45,12	0,00		45,30		0
-1.0_1.0_22__4		25,52		21,30	21,17	0,00		21,23		0
-1.0_1.0_22__6		17,23		13,45	13,26	0,00		13,34		0
-1.0_1.0_22__8		13,11		9,52	9,39	0,00		9,47		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		10,30		8,39	8,35	0,00		8,37		0
-1.0_0.0_22__2		50,30		47,68	47,64	0,00		47,66		0
-1.0_0.0_22__4		25,24		23,06	23,03	0,00		23,04		0
-1.0_0.0_22__6		16,91		14,92	14,88	0,00		14,90		0
-1.0_0.0_22__8		12,76		10,86	10,84	0,00		10,85		0
-1.0_0.3_22__10		10,49		7,84	7,18	0,00		7,70		0
-1.0_0.3_22__2		50,40		47,09	46,49	0,00		46,84		0
-1.0_0.3_22__4		25,34		22,64	21,98	0,00		22,36		0
-1.0_0.3_22__6		17,04		14,46	13,95	0,00		14,24		0
-1.0_0.3_22__8		12,91		10,45	9,76	0,00		10,23		0
-1.0_0.5_22__10		10,71		7,55	6,03	0,00		6,99		0
-1.0_0.5_22__2		50,55		46,25	44,97	0,00		45,67		0
-1.0_0.5_22__4		25,48		21,84	20,86	0,00		21,45		0
-1.0_0.5_22__6		17,19		13,95	13,05	0,00		13,51		0
-1.0_0.5_22__8		13,08		9,81	9,02	0,00		9,56		0
-1.0_0.7_22__10		11,24		6,67	4,77	0,00		5,56		0
-1.0_0.7_22__2		50,82		44,96	41,92	0,00		43,63		0
-1.0_0.7_22__4		25,79		20,86	18,38	0,00		19,74		0
