ALPHA = 1.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_22		1,30	0,12	0,35
0.3_0.3_22		1,73	0,36	0,60
0.3_0.5_22		2,21	0,78	0,88
0.3_0.7_22		3,83	1,47	1,21
0.3_1.0_22		1,27	0,09	0,30
0.5_0.0_22		1,63	0,11	0,33
0.5_0.3_22		2,09	0,21	0,46
0.5_0.5_22		3,09	0,46	0,68
0.5_0.7_22		5,23	1,80	1,34
0.5_1.0_22		1,61	0,09	0,30
0.7_0.0_22		1,99	0,08	0,28
0.7_0.3_22		2,81	0,15	0,39
0.7_0.5_22		3,96	0,57	0,75
0.7_0.7_22		5,90	1,55	1,25
0.7_1.0_22		2,16	0,07	0,26



ALPHA = 1.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_22		0,57	0,02	0,14
0.3_0.3_22		0,85	0,04	0,21
0.3_0.5_22		1,14	0,10	0,31
0.3_0.7_22		1,33	0,20	0,45
0.3_1.0_22		0,62	0,01	0,11
0.5_0.0_22		0,80	0,01	0,11
0.5_0.3_22		1,03	0,03	0,16
0.5_0.5_22		1,47	0,05	0,21
0.5_0.7_22		2,19	0,14	0,38
0.5_1.0_22		0,79	0,01	0,10
0.7_0.0_22		1,02	0,01	0,10
0.7_0.3_22		1,46	0,02	0,12
0.7_0.5_22		1,88	0,04	0,20
0.7_0.7_22		3,15	0,13	0,37
0.7_1.0_22		1,03	0,01	0,09



ALPHA = 2.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_22		1,33	0,17	0,41
0.3_0.3_22		1,56	0,34	0,58
0.3_0.5_22		2,44	1,01	1,01
0.3_0.7_22		4,39	2,81	1,68
0.3_1.0_22		1,49	0,18	0,43
0.5_0.0_22		1,59	0,15	0,39
0.5_0.3_22		2,23	0,41	0,64
0.5_0.5_22		3,00	0,67	0,82
0.5_0.7_22		4,84	2,18	1,48
0.5_1.0_22		1,68	0,17	0,41
0.7_0.0_22		2,04	0,07	0,27
0.7_0.3_22		2,83	0,27	0,52
0.7_0.5_22		3,53	0,67	0,82
0.7_0.7_22		6,15	1,96	1,40
0.7_1.0_22		2,19	0,08	0,28



ALPHA = 2.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_22		0,63	0,02	0,16
0.3_0.3_22		0,91	0,05	0,23
0.3_0.5_22		1,25	0,13	0,35
0.3_0.7_22		1,86	0,29	0,54
0.3_1.0_22		0,67	0,02	0,15
0.5_0.0_22		0,79	0,02	0,14
0.5_0.3_22		1,15	0,04	0,20
0.5_0.5_22		1,44	0,06	0,24
0.5_0.7_22		2,32	0,17	0,41
0.5_1.0_22		0,82	0,01	0,12
0.7_0.0_22		1,01	0,01	0,10
0.7_0.3_22		1,44	0,02	0,14
0.7_0.5_22		2,02	0,04	0,21
0.7_0.7_22		3,13	0,12	0,34
0.7_1.0_22		1,07	0,01	0,10



ALPHA = 2.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_22		1,26	0,24	0,49
0.3_0.3_22		2,44	0,35	0,59
0.3_0.5_22		2,67	0,99	0,99
0.3_0.7_22		4,03	2,80	1,67
0.3_1.0_22		1,57	0,20	0,45
0.5_0.0_22		1,54	0,18	0,42
0.5_0.3_22		2,39	0,45	0,67
0.5_0.5_22		2,77	0,51	0,71
0.5_0.7_22		4,99	2,02	1,42
0.5_1.0_22		1,72	0,14	0,37
0.7_0.0_22		2,02	0,10	0,31
0.7_0.3_22		2,85	0,31	0,56
0.7_0.5_22		3,86	0,43	0,65
0.7_0.7_22		6,43	1,06	1,03
0.7_1.0_22		2,12	0,08	0,28



ALPHA = 2.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_22		0,70	0,03	0,16
0.3_0.3_22		0,98	0,07	0,26
0.3_0.5_22		1,24	0,09	0,31
0.3_0.7_22		2,09	0,30	0,54
0.3_1.0_22		0,79	0,02	0,15
0.5_0.0_22		0,73	0,02	0,14
0.5_0.3_22		1,20	0,05	0,21
0.5_0.5_22		1,48	0,09	0,30
0.5_0.7_22		2,47	0,24	0,49
0.5_1.0_22		0,86	0,02	0,13
0.7_0.0_22		0,99	0,01	0,09
0.7_0.3_22		1,40	0,03	0,17
0.7_0.5_22		1,86	0,05	0,23
0.7_0.7_22		3,08	0,19	0,43
0.7_1.0_22		1,09	0,01	0,10



ALPHA = 3.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_22		1,31	0,26	0,51
0.3_0.3_22		2,23	0,52	0,72
0.3_0.5_22		2,35	0,89	0,94
0.3_0.7_22		3,49	2,60	1,61
0.3_1.0_22		1,54	0,27	0,52
0.5_0.0_22		1,65	0,20	0,45
0.5_0.3_22		2,34	0,50	0,70
0.5_0.5_22		2,95	0,90	0,95
0.5_0.7_22		5,49	2,38	1,54
0.5_1.0_22		1,64	0,14	0,38
0.7_0.0_22		1,95	0,08	0,28
0.7_0.3_22		2,91	0,20	0,44
0.7_0.5_22		3,94	0,40	0,63
0.7_0.7_22		5,72	1,32	1,15
0.7_1.0_22		2,25	0,08	0,29



ALPHA = 3.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_22		0,78	0,03	0,17
0.3_0.3_22		0,98	0,06	0,25
0.3_0.5_22		1,21	0,13	0,36
0.3_0.7_22		1,85	0,29	0,54
0.3_1.0_22		0,83	0,02	0,15
0.5_0.0_22		0,81	0,02	0,15
0.5_0.3_22		1,16	0,05	0,22
0.5_0.5_22		1,55	0,09	0,30
0.5_0.7_22		2,36	0,19	0,43
0.5_1.0_22		0,82	0,02	0,15
0.7_0.0_22		1,03	0,01	0,10
0.7_0.3_22		1,36	0,03	0,16
0.7_0.5_22		1,99	0,06	0,24
0.7_0.7_22		3,08	0,14	0,37
0.7_1.0_22		1,07	0,01	0,11
