ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		10,94		6,49	6,17	0,00		6,36		0
-1.0_0.0_11__2		50,71		44,75	44,26	0,00		44,48		0
-1.0_0.0_11__4		25,64		20,83	20,34	0,00		20,60		0
-1.0_0.0_11__6		17,37		13,08	12,52	0,00		12,77		0
-1.0_0.0_11__8		13,25		9,19	8,79	0,00		8,99		0
-1.0_0.3_11__10		11,38		5,85	4,66	0,00		5,20		0
-1.0_0.3_11__2		50,91		43,87	41,36	0,00		42,98		0
-1.0_0.3_11__4		25,87		20,05	18,17	0,00		19,37		0
-1.0_0.3_11__6		17,63		12,44	11,19	0,00		11,73		0
-1.0_0.3_11__8		13,57		8,34	7,39	0,00		7,98		0
-1.0_0.5_11__10		11,80		4,89	3,16	0,00		4,23		0
-1.0_0.5_11__2		51,14		42,78	39,76	0,00		41,22		0
-1.0_0.5_11__4		26,07		19,19	17,53	0,00		18,36		0
-1.0_0.5_11__6		17,90		11,91	9,95	0,00		10,77		0
-1.0_0.5_11__8		13,86		7,90	5,96	0,00		7,12		0
-1.0_0.7_11__10		12,01		5,90	3,12	0,00		3,82		0
-1.0_0.7_11__2		51,40		41,24	37,71	0,00		39,34		0
-1.0_0.7_11__4		26,48		17,36	15,60	0,00		16,55		0
-1.0_0.7_11__6		18,38		10,43	8,15	0,00		9,22		0
-1.0_0.7_11__8		14,27		7,25	5,26	0,00		6,08		0
-1.0_1.0_11__10		11,09		6,29	5,59	0,00		5,96		0
-1.0_1.0_11__2		50,78		44,47	42,80	0,00		43,97		0
-1.0_1.0_11__4		25,72		20,51	19,90	0,00		20,16		0
-1.0_1.0_11__6		17,46		12,87	11,92	0,00		12,42		0
-1.0_1.0_11__8		13,36		8,85	8,24	0,00		8,63		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		10,44		8,00	7,81	0,00		7,91		0
