ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,94		6,49	6,17	0,00		6,36		0
-1.0_0.0_21__2		50,71		44,75	44,26	0,00		44,48		0
-1.0_0.0_21__4		25,64		20,83	20,34	0,00		20,60		0
-1.0_0.0_21__6		17,37		13,08	12,52	0,00		12,77		0
-1.0_0.0_21__8		13,25		9,19	8,79	0,00		8,99		0
-1.0_0.3_21__10		11,47		5,85	4,24	0,00		4,98		0
-1.0_0.3_21__2		50,94		43,78	40,67	0,00		42,73		0
-1.0_0.3_21__4		25,90		19,92	17,81	0,00		19,16		0
-1.0_0.3_21__6		17,67		12,35	10,74	0,00		11,57		0
-1.0_0.3_21__8		13,61		8,26	7,17	0,00		7,85		0
-1.0_0.5_21__10		12,11		4,24	1,76	0,00		3,51		0
-1.0_0.5_21__2		51,26		42,40	37,91	0,00		40,37		0
-1.0_0.5_21__4		26,17		18,87	16,87	0,00		17,86		0
-1.0_0.5_21__6		18,01		11,75	9,32	0,00		10,34		0
-1.0_0.5_21__8		13,98		7,72	5,00	0,00		6,76		0
-1.0_0.7_21__10		12,64		6,81	1,76	0,00		2,41		0
-1.0_0.7_21__2		51,77		40,02	32,66	0,00		36,75		0
-1.0_0.7_21__4		26,80		16,28	13,55	0,00		15,00		0
-1.0_0.7_21__6		18,81		9,75	6,12	0,00		7,80		0
-1.0_0.7_21__8		14,62		6,77	3,22	0,00		5,08		0
-1.0_1.0_21__10		10,75		6,98	6,75	0,00		6,87		0
-1.0_1.0_21__2		50,60		45,41	45,12	0,00		45,30		0
-1.0_1.0_21__4		25,52		21,30	21,17	0,00		21,23		0
-1.0_1.0_21__6		17,23		13,45	13,26	0,00		13,34		0
-1.0_1.0_21__8		13,11		9,52	9,39	0,00		9,47		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,44		8,00	7,81	0,00		7,91		0
-1.0_0.0_21__2		50,38		47,11	46,87	0,00		46,99		0
-1.0_0.0_21__4		25,32		22,58	22,40	0,00		22,50		0
-1.0_0.0_21__6		17,02		14,57	14,25	0,00		14,39		0
-1.0_0.0_21__8		12,88		10,47	10,31	0,00		10,39		0
-1.0_0.3_21__10		10,67		7,42	6,57	0,00		7,15		0
-1.0_0.3_21__2		50,51		46,29	45,52	0,00		45,97		0
-1.0_0.3_21__4		25,45		22,05	21,21	0,00		21,68		0
-1.0_0.3_21__6		17,18		13,96	13,34	0,00		13,61		0
-1.0_0.3_21__8		13,07		9,92	9,02	0,00		9,64		0
-1.0_0.5_21__10		10,94		6,99	5,55	0,00		6,37		0
-1.0_0.5_21__2		50,70		45,21	43,62	0,00		44,53		0
-1.0_0.5_21__4		25,64		21,20	19,83	0,00		20,60		0
-1.0_0.5_21__6		17,37		13,39	12,18	0,00		12,77		0
-1.0_0.5_21__8		13,28		9,32	8,36	0,00		8,91		0
-1.0_0.7_21__10		11,50		6,03	3,97	0,00		4,97		0
-1.0_0.7_21__2		51,00		43,67	40,59	0,00		42,26		0
-1.0_0.7_21__4		26,01		19,98	17,32	0,00		18,70		0
-1.0_0.7_21__6		17,85		11,92	9,59	0,00		10,97		0
-1.0_0.7_21__8		13,75		8,42	5,74	0,00		7,49		0
-1.0_1.0_21__10		10,35		8,26	8,19	0,00		8,22		0
-1.0_1.0_21__2		50,32		47,50	47,40	0,00		47,44		0
-1.0_1.0_21__4		25,26		22,91	22,82	0,00		22,87		0
-1.0_1.0_21__6		16,94		14,78	14,70	0,00		14,74		0
-1.0_1.0_21__8		12,80		10,74	10,66	0,00		10,71		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_21__10		10,67		6,90	6,53	0,00		6,71		0
-1.0_0.0_21__2		50,90		45,88	45,29	0,00		45,60		0
-1.0_0.0_21__4		25,60		21,50	21,16	0,00		21,34		0
-1.0_0.0_21__6		17,23		13,47	13,10	0,00		13,32		0
-1.0_0.0_21__8		13,06		9,58	9,18	0,00		9,37		0
-1.0_0.3_21__10		11,08		6,19	4,39	0,00		5,34		0
-1.0_0.3_21__2		51,22		44,80	42,26	0,00		44,09		0
