id;iteration_number;min_solution;avg_solution;max_solution;OPX_EXCHANGE;OX_EXCHANGE;OPX_SHIFT;OX_SHIFT;OPX_NO;OX_NO;NO_SHIFT;NO_EXCHANGE
1;100;6587.192685428539;7321.649014608199;8616.73014312222;1.351079888220007E-35;8.796093022208021E-35;0.04801843200157538;6.755399441055764E-35;1.3510798893179572E-35;6.755399442162565E-35;1.7592186044416042E-35;8.796093022208021E-35
1;200;6544.451157478859;7312.400918155227;8732.836800689349;9.671406556917077E-57;1.8889465931478665E-56;4.954522104123079E-9;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;300;6542.874290915677;7277.732838579498;8304.968372094118;9.671406556917077E-57;1.8889465931478665E-56;0.2400927744000001;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;400;6542.807742620818;7303.223039538649;8372.76253102097;9.671406556917077E-57;1.8889465931478665E-56;0.2400030778983029;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;500;6542.592707023642;7407.093068443508;8847.456834549048;9.671406556917077E-57;1.8889465931478665E-56;0.04808048640824231;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;600;6542.592707023642;7232.200846127455;8414.835243353977;9.671406556917077E-57;1.8889465931478665E-56;0.048079994880000004;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;700;6541.918199118902;7311.341030527817;8109.618477522044;9.671406556917077E-57;1.8889465931478665E-56;0.009600000235929601;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;800;6541.701081515068;7365.8569585272;9220.006467388454;9.671406556917077E-57;1.8889465931478665E-56;0.011520000000002539;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;900;6541.701081515068;7375.551004297744;8684.116307640008;9.671406556917077E-57;1.8889465931478665E-56;0.0019200049545217007;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1000;6541.4894564808465;7300.905921396405;8371.497865192096;9.671406556917077E-57;1.8889465931478665E-56;0.25006080019698557;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1100;6541.062630175929;7347.063454372885;8279.131017110174;9.671406556917077E-57;1.8889465931478665E-56;0.009600000000002518;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1200;6540.63023142548;7295.163741762617;8430.705453520317;9.671406556917077E-57;1.8889465931478665E-56;0.24;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1300;6540.63023142548;7156.438587462483;8160.7577559682595;9.671406556917077E-57;1.8889465931478665E-56;0.009600024576013088;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1400;6540.626400128364;7261.34156780392;8333.720931369211;9.671406556917077E-57;1.8889465931478665E-56;4.0000389277286487E-4;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1500;6540.446602682119;7279.88534565043;8570.122019056827;9.671406556917077E-57;1.8889465931478665E-56;1.4843904050335005E-7;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1600;6540.391275788027;7351.0423562691185;8564.890826684526;9.671406556917077E-57;1.8889465931478665E-56;7.682555904000001E-5;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1700;6540.383092376363;7387.326908375389;8468.88977862499;9.671406556917077E-57;1.8889465931478665E-56;0.2899969523790648;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1800;6539.944125585604;7282.342412882914;8837.003958154455;9.671406556917077E-57;1.8889465931478665E-56;7.682949120254091E-5;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;1900;6539.714124220136;7227.415801245033;8294.629956157936;9.671406556917077E-57;1.8889465931478665E-56;0.048000000984990354;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;2000;6539.547285973621;7314.8708021009425;8599.104127273109;9.671406556917077E-57;1.8889465931478665E-56;0.00201228288786432;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;2100;6539.547285973621;7237.907817610405;8422.392223983485;9.671406556917077E-57;1.8889465931478665E-56;6.442536733350783E-21;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
1;2200;6539.547285973621;7324.836060923153;8403.276323410575;9.671406556917077E-57;1.8889465931478665E-56;3.1959023617006646E-6;1.4623166714153689E-56;1.4507109835375622E-56;7.2535549176878105E-56;1.8889465931478665E-56;9.671406556917077E-57
