ALPHA = 1.5
JOBS COUNT = 50
seria				E		D		S
-1.0_1.0_12_2		51,10	0,00	0,04
-1.0_1.0_12_4		25,67	0,00	0,02
-1.0_1.0_12_6		17,24	0,00	0,03
-1.0_1.0_12_8		13,04	0,00	0,03



ALPHA = 2.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_12_10		10,17	0,00	0,00
-1.0_0.0_12_2		50,41	0,00	0,00
-1.0_0.0_12_4		25,23	0,00	0,00
-1.0_0.0_12_6		16,85	0,00	0,00
-1.0_0.0_12_8		12,67	0,00	0,00
-1.0_0.3_12_10		10,26	0,00	0,01
-1.0_0.3_12_2		50,56	0,00	0,02
-1.0_0.3_12_4		25,33	0,00	0,01
-1.0_0.3_12_6		16,93	0,00	0,01
-1.0_0.3_12_8		12,74	0,00	0,01
-1.0_0.5_12_10		10,36	0,00	0,02
-1.0_0.5_12_2		50,73	0,00	0,03
-1.0_0.5_12_4		25,42	0,00	0,01
-1.0_0.5_12_6		17,02	0,00	0,01
-1.0_0.5_12_8		12,85	0,00	0,02
-1.0_0.7_12_10		10,54	0,00	0,03
-1.0_0.7_12_2		50,97	0,00	0,03
-1.0_0.7_12_4		25,62	0,00	0,03
-1.0_0.7_12_6		17,19	0,00	0,02
-1.0_0.7_12_8		13,00	0,00	0,03
-1.0_1.0_12_10		10,27	0,00	0,01
-1.0_1.0_12_2		50,57	0,00	0,01
-1.0_1.0_12_4		25,34	0,00	0,01
-1.0_1.0_12_6		16,95	0,00	0,01
-1.0_1.0_12_8		12,76	0,00	0,00



ALPHA = 3.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_12_10		10,34	0,00	0,00
-1.0_0.0_12_2		50,84	0,00	0,00
-1.0_0.0_12_4		25,46	0,00	0,00
-1.0_0.0_12_6		17,02	0,00	0,00
-1.0_0.0_12_8		12,81	0,00	0,00
-1.0_0.3_12_10		10,55	0,00	0,05
-1.0_0.3_12_2		51,16	0,01	0,08
-1.0_0.3_12_4		25,64	0,00	0,05
-1.0_0.3_12_6		17,19	0,00	0,03
-1.0_0.3_12_8		12,96	0,00	0,04
-1.0_0.5_12_10		10,77	0,00	0,06
-1.0_0.5_12_2		51,45	0,01	0,10
-1.0_0.5_12_4		25,86	0,00	0,07
-1.0_0.5_12_6		17,35	0,01	0,07
-1.0_0.5_12_8		13,12	0,00	0,07
-1.0_0.7_12_10		11,08	0,01	0,11
-1.0_0.7_12_2		51,89	0,02	0,13
-1.0_0.7_12_4		26,14	0,01	0,09
