ALPHA = 1.5
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		4,62 | 30	4,62 | 30	5,78	0,00	0,05
-1.0_0.0_22__2		44,52 | 30	44,52 | 30	4,17	0,01	0,10
-1.0_0.0_22__4		20,46 | 30	20,46 | 30	4,16	0,01	0,08
-1.0_0.0_22__6		12,31 | 30	12,31 | 30	4,32	0,00	0,05
-1.0_0.0_22__8		7,95 | 30	7,95 | 30	4,71	0,00	0,06
-1.0_0.3_22__10		1,93 | 28	1,93 | 28	9,44	2,45	1,56
-1.0_0.3_22__2		40,84 | 30	40,84 | 30	7,06	3,06	1,75
-1.0_0.3_22__4		17,61 | 30	17,61 | 30	6,89	2,28	1,51
-1.0_0.3_22__6		9,57 | 30	9,57 | 30	7,18	2,12	1,46
-1.0_0.3_22__8		5,63 | 30	5,63 | 30	7,31	2,76	1,66
-1.0_0.5_22__10		0,00 | 0	0,00 | 0	16,02	2,51	1,58
-1.0_0.5_22__2		38,07 | 30	38,07 | 30	9,42	4,29	2,07
-1.0_0.5_22__4		15,50 | 30	15,50 | 30	9,04	4,66	2,16
-1.0_0.5_22__6		8,17 | 30	8,17 | 30	8,84	4,95	2,23
-1.0_0.5_22__8		3,45 | 29	3,45 | 29	10,05	1,45	1,20
-1.0_0.7_22__10		3,69 | 1	3,69 | 1	19,57	8,70	2,95
-1.0_0.7_22__2		30,88 | 30	30,88 | 30	15,93	19,47	4,41
-1.0_0.7_22__4		11,57 | 30	11,57 | 30	13,38	5,03	2,24
-1.0_0.7_22__6		4,51 | 30	4,51 | 30	13,40	12,28	3,50
-1.0_0.7_22__8		3,97 | 8	3,97 | 8	14,50	9,52	3,09
-1.0_1.0_22__10		3,91 | 30	3,91 | 30	6,59	0,02	0,13
-1.0_1.0_22__2		43,58 | 30	43,58 | 30	4,89	0,03	0,19
-1.0_1.0_22__4		19,82 | 30	19,82 | 30	4,76	0,02	0,16
-1.0_1.0_22__6		11,75 | 30	11,75 | 30	4,91	0,01	0,11
-1.0_1.0_22__8		7,32 | 30	7,32 | 30	5,40	0,01	0,10



ALPHA = 1.5
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		7,78 | 30	7,78 | 30	2,34	0,00	0,03
-1.0_0.0_22__2		47,38 | 30	47,38 | 30	1,98	0,00	0,05
-1.0_0.0_22__4		22,33 | 30	22,33 | 30	2,38	0,00	0,05
-1.0_0.0_22__6		14,10 | 30	14,10 | 30	2,47	0,00	0,05
-1.0_0.0_22__8		9,81 | 30	9,81 | 30	2,69	0,00	0,03
-1.0_0.3_22__10		6,08 | 30	6,08 | 30	4,15	0,31	0,55
-1.0_0.3_22__2		45,96 | 30	45,96 | 30	3,05	0,39	0,63
-1.0_0.3_22__4		20,73 | 30	20,73 | 30	3,82	0,57	0,76
-1.0_0.3_22__6		12,39 | 30	12,39 | 30	4,14	0,48	0,69
-1.0_0.3_22__8		8,31 | 30	8,31 | 30	4,25	0,58	0,76
-1.0_0.5_22__10		5,10 | 30	5,10 | 30	5,35	0,59	0,77
-1.0_0.5_22__2		44,38 | 30	44,38 | 30	4,29	0,99	0,99
-1.0_0.5_22__4		19,11 | 30	19,11 | 30	5,37	1,24	1,11
-1.0_0.5_22__6		11,33 | 30	11,33 | 30	5,28	1,02	1,01
-1.0_0.5_22__8		6,75 | 30	6,75 | 30	5,94	1,42	1,19
-1.0_0.7_22__10		3,69 | 30	3,69 | 30	7,29	0,55	0,74
-1.0_0.7_22__2		41,28 | 30	41,28 | 30	6,78	3,52	1,87
-1.0_0.7_22__4		16,63 | 30	16,63 | 30	7,88	2,45	1,57
-1.0_0.7_22__6		8,32 | 30	8,32 | 30	8,60	3,13	1,77
-1.0_0.7_22__8		4,24 | 29	4,24 | 29	9,04	2,44	1,56
-1.0_1.0_22__10		7,46 | 30	7,46 | 30	2,69	0,01	0,07
-1.0_1.0_22__2		46,90 | 30	46,90 | 30	2,33	0,01	0,10
-1.0_1.0_22__4		21,96 | 30	21,96 | 30	2,71	0,01	0,10
-1.0_1.0_22__6		13,73 | 30	13,73 | 30	2,83	0,01	0,12
-1.0_1.0_22__8		9,45 | 30	9,45 | 30	3,06	0,01	0,08



ALPHA = 2.0
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		5,86 | 30	5,86 | 30	4,36	0,00	0,05
-1.0_0.0_22__2		45,97 | 30	45,97 | 30	3,25	0,01	0,11
-1.0_0.0_22__4		21,26 | 30	21,26 | 30	3,46	0,00	0,07
-1.0_0.0_22__6		13,06 | 30	13,06 | 30	3,55	0,00	0,05
-1.0_0.0_22__8		8,91 | 30	8,91 | 30	3,66	0,00	0,05
-1.0_0.3_22__10		3,67 | 28	3,67 | 28	7,30	2,25	1,50
-1.0_0.3_22__2		41,63 | 30	41,63 | 30	6,63	2,87	1,69
-1.0_0.3_22__4		17,80 | 30	17,80 | 30	6,70	2,58	1,61
-1.0_0.3_22__6		9,71 | 30	9,71 | 30	6,93	2,22	1,49
-1.0_0.3_22__8		6,49 | 30	6,49 | 30	6,27	3,37	1,83
-1.0_0.5_22__10		3,74 | 4	3,74 | 4	12,20	4,71	2,17
-1.0_0.5_22__2		38,87 | 30	38,87 | 30	9,05	7,32	2,71
-1.0_0.5_22__4		15,66 | 30	15,66 | 30	8,96	6,19	2,49
-1.0_0.5_22__6		7,71 | 30	7,71 | 30	9,19	5,41	2,33
-1.0_0.5_22__8		4,78 | 30	4,78 | 30	8,21	0,46	0,67
-1.0_0.7_22__10		4,99 | 2	4,99 | 2	15,06	7,11	2,67
-1.0_0.7_22__2		35,57 | 30	35,57 | 30	12,23	17,13	4,14
-1.0_0.7_22__4		13,28 | 30	13,28 | 30	11,68	10,01	3,16
-1.0_0.7_22__6		5,94 | 30	5,94 | 30	11,55	12,84	3,58
-1.0_0.7_22__8		5,33 | 8	5,33 | 8	12,42	7,95	2,82
-1.0_1.0_22__10		5,33 | 30	5,33 | 30	4,93	0,01	0,11
-1.0_1.0_22__2		45,31 | 30	45,31 | 30	3,76	0,04	0,21
-1.0_1.0_22__4		20,68 | 30	20,68 | 30	4,00	0,03	0,18
-1.0_1.0_22__6		12,50 | 30	12,50 | 30	4,10	0,02	0,13
-1.0_1.0_22__8		8,36 | 30	8,36 | 30	4,23	0,01	0,10



ALPHA = 2.0
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		8,14 | 30	8,14 | 30	1,91	0,00	0,03
-1.0_0.0_22__2		48,10 | 30	48,10 | 30	1,53	0,00	0,07
-1.0_0.0_22__4		22,91 | 30	22,91 | 30	1,89	0,00	0,05
-1.0_0.0_22__6		14,61 | 30	14,61 | 30	1,97	0,00	0,04
-1.0_0.0_22__8		10,44 | 30	10,44 | 30	2,04	0,00	0,04
-1.0_0.3_22__10		6,50 | 30	6,50 | 30	3,61	0,47	0,69
-1.0_0.3_22__2		45,75 | 30	45,75 | 30	3,28	0,83	0,91
-1.0_0.3_22__4		21,20 | 30	21,20 | 30	3,42	0,73	0,86
-1.0_0.3_22__6		13,11 | 30	13,11 | 30	3,41	0,53	0,73
-1.0_0.3_22__8		9,11 | 30	9,11 | 30	3,39	0,79	0,89
-1.0_0.5_22__10		5,34 | 30	5,34 | 30	4,91	0,66	0,81
-1.0_0.5_22__2		44,28 | 30	44,28 | 30	4,46	1,40	1,18
-1.0_0.5_22__4		19,73 | 30	19,73 | 30	4,82	1,58	1,26
-1.0_0.5_22__6		11,53 | 30	11,53 | 30	5,00	1,34	1,16
-1.0_0.5_22__8		7,47 | 30	7,47 | 30	5,10	1,37	1,17
-1.0_0.7_22__10		3,90 | 30	3,90 | 30	6,75	0,66	0,81
-1.0_0.7_22__2		41,94 | 30	41,94 | 30	6,47	4,21	2,05
-1.0_0.7_22__4		18,05 | 30	18,05 | 30	6,57	2,64	1,62
-1.0_0.7_22__6		9,98 | 30	9,98 | 30	6,75	3,42	1,85
-1.0_0.7_22__8		5,57 | 30	5,57 | 30	7,30	2,29	1,51
-1.0_1.0_22__10		7,87 | 30	7,87 | 30	2,19	0,00	0,06
-1.0_1.0_22__2		47,70 | 30	47,70 | 30	1,83	0,01	0,12
-1.0_1.0_22__4		22,54 | 30	22,54 | 30	2,21	0,02	0,13
-1.0_1.0_22__6		14,24 | 30	14,24 | 30	2,32	0,01	0,11
-1.0_1.0_22__8		10,10 | 30	10,10 | 30	2,38	0,00	0,05



ALPHA = 2.5
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		6,44 | 30	6,44 | 30	3,71	0,00	0,05
-1.0_0.0_22__2		46,65 | 30	46,65 | 30	2,83	0,01	0,12
-1.0_0.0_22__4		21,69 | 30	21,69 | 30	3,10	0,01	0,08
-1.0_0.0_22__6		13,44 | 30	13,44 | 30	3,18	0,00	0,06
-1.0_0.0_22__8		9,30 | 30	9,30 | 30	3,24	0,00	0,04
-1.0_0.3_22__10		4,20 | 28	4,20 | 28	6,56	2,27	1,51
-1.0_0.3_22__2		43,01 | 30	43,01 | 30	5,70	4,25	2,06
-1.0_0.3_22__4		18,23 | 30	18,23 | 30	6,32	3,30	1,82
-1.0_0.3_22__6		9,67 | 30	9,67 | 30	6,92	1,49	1,22
-1.0_0.3_22__8		7,32 | 30	7,32 | 30	5,34	2,89	1,70
-1.0_0.5_22__10		4,41 | 6	4,41 | 6	10,67	5,43	2,33
-1.0_0.5_22__2		40,17 | 30	40,17 | 30	8,14	6,65	2,58
-1.0_0.5_22__4		16,53 | 30	16,53 | 30	8,12	6,25	2,50
-1.0_0.5_22__6		8,35 | 30	8,35 | 30	8,47	6,09	2,47
-1.0_0.5_22__8		5,25 | 30	5,25 | 30	7,63	1,82	1,35
-1.0_0.7_22__10		0,00 | 0	0,00 | 0	13,45	0,29	0,54
-1.0_0.7_22__2		35,68 | 30	35,68 | 30	12,27	14,39	3,79
-1.0_0.7_22__4		13,15 | 30	13,15 | 30	11,84	12,08	3,48
-1.0_0.7_22__6		6,51 | 30	6,51 | 30	10,84	13,37	3,66
-1.0_0.7_22__8		1,73 | 30	1,73 | 30	11,80	7,32	2,70
-1.0_1.0_22__10		5,90 | 30	5,90 | 30	4,27	0,01	0,09
-1.0_1.0_22__2		45,86 | 30	45,86 | 30	3,43	0,06	0,25
-1.0_1.0_22__4		21,09 | 30	21,09 | 30	3,65	0,03	0,19
-1.0_1.0_22__6		12,89 | 30	12,89 | 30	3,71	0,01	0,12
-1.0_1.0_22__8		8,79 | 30	8,79 | 30	3,76	0,02	0,12



ALPHA = 2.5
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		8,33 | 30	8,33 | 30	1,70	0,00	0,03
-1.0_0.0_22__2		48,47 | 30	48,47 | 30	1,31	0,00	0,04
-1.0_0.0_22__4		23,17 | 30	23,17 | 30	1,67	0,00	0,05
-1.0_0.0_22__6		14,85 | 30	14,85 | 30	1,74	0,00	0,05
-1.0_0.0_22__8		10,70 | 30	10,70 | 30	1,77	0,00	0,04
-1.0_0.3_22__10		6,74 | 30	6,74 | 30	3,32	0,50	0,71
-1.0_0.3_22__2		46,10 | 30	46,10 | 30	3,07	1,01	1,01
-1.0_0.3_22__4		21,66 | 30	21,66 | 30	3,03	0,79	0,89
-1.0_0.3_22__6		13,38 | 30	13,38 | 30	3,15	0,72	0,85
-1.0_0.3_22__8		9,59 | 30	9,59 | 30	2,89	0,54	0,73
-1.0_0.5_22__10		5,64 | 30	5,64 | 30	4,51	0,69	0,83
-1.0_0.5_22__2		45,02 | 30	45,02 | 30	4,01	2,44	1,56
-1.0_0.5_22__4		19,95 | 30	19,95 | 30	4,60	1,58	1,26
-1.0_0.5_22__6		11,80 | 30	11,80 | 30	4,72	1,54	1,24
-1.0_0.5_22__8		7,68 | 30	7,68 | 30	4,85	1,16	1,08
-1.0_0.7_22__10		3,96 | 30	3,96 | 30	6,51	0,73	0,85
-1.0_0.7_22__2		43,74 | 30	43,74 | 30	5,21	3,59	1,89
-1.0_0.7_22__4		18,11 | 30	18,11 | 30	6,54	4,58	2,14
-1.0_0.7_22__6		9,98 | 30	9,98 | 30	6,71	4,01	2,00
-1.0_0.7_22__8		5,90 | 30	5,90 | 30	6,84	1,53	1,24
-1.0_1.0_22__10		8,06 | 30	8,06 | 30	1,97	0,00	0,06
-1.0_1.0_22__2		48,13 | 30	48,13 | 30	1,56	0,01	0,10
-1.0_1.0_22__4		22,82 | 30	22,82 | 30	1,99	0,01	0,11
-1.0_1.0_22__6		14,59 | 30	14,59 | 30	2,00	0,01	0,11
-1.0_1.0_22__8		10,40 | 30	10,40 | 30	2,07	0,01	0,08



ALPHA = 3.0
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		6,72 | 30	6,72 | 30	3,39	0,00	0,05
-1.0_0.0_22__2		47,10 | 30	47,10 | 30	2,54	0,01	0,09
-1.0_0.0_22__4		21,99 | 30	21,99 | 30	2,84	0,01	0,08
-1.0_0.0_22__6		13,70 | 30	13,70 | 30	2,92	0,00	0,06
-1.0_0.0_22__8		9,55 | 30	9,55 | 30	2,98	0,00	0,05
-1.0_0.3_22__10		4,59 | 29	4,59 | 29	5,91	1,40	1,18
-1.0_0.3_22__2		43,26 | 30	43,26 | 30	5,59	4,30	2,07
-1.0_0.3_22__4		18,58 | 30	18,58 | 30	6,00	3,31	1,82
-1.0_0.3_22__6		10,02 | 30	10,02 | 30	6,56	2,34	1,53
-1.0_0.3_22__8		7,20 | 30	7,20 | 30	5,42	3,50	1,87
-1.0_0.5_22__10		4,85 | 4	4,85 | 4	10,56	3,96	1,99
-1.0_0.5_22__2		41,55 | 30	41,55 | 30	7,16	7,34	2,71
-1.0_0.5_22__4		16,03 | 30	16,03 | 30	8,61	5,93	2,43
-1.0_0.5_22__6		9,06 | 30	9,06 | 30	7,71	5,64	2,37
-1.0_0.5_22__8		5,64 | 30	5,64 | 30	7,16	2,24	1,50
-1.0_0.7_22__10		6,21 | 1	6,21 | 1	12,15	2,43	1,56
-1.0_0.7_22__2		36,90 | 30	36,90 | 30	11,43	18,19	4,27
-1.0_0.7_22__4		13,13 | 30	13,13 | 30	11,90	13,62	3,69
-1.0_0.7_22__6		7,05 | 30	7,05 | 30	10,19	13,10	3,62
-1.0_0.7_22__8		2,29 | 30	2,29 | 30	11,07	8,31	2,88
-1.0_1.0_22__10		6,18 | 30	6,18 | 30	3,95	0,01	0,10
-1.0_1.0_22__2		46,28 | 30	46,28 | 30	3,16	0,03	0,17
-1.0_1.0_22__4		21,39 | 30	21,39 | 30	3,39	0,02	0,16
-1.0_1.0_22__6		13,14 | 30	13,14 | 30	3,46	0,01	0,10
-1.0_1.0_22__8		9,02 | 30	9,02 | 30	3,51	0,01	0,09



ALPHA = 3.0
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_22__10		8,46 | 30	8,46 | 30	1,56	0,00	0,03
-1.0_0.0_22__2		48,68 | 30	48,68 | 30	1,18	0,00	0,05
-1.0_0.0_22__4		23,36 | 30	23,36 | 30	1,52	0,00	0,06
-1.0_0.0_22__6		15,04 | 30	15,04 | 30	1,57	0,00	0,04
-1.0_0.0_22__8		10,86 | 30	10,86 | 30	1,62	0,00	0,03
-1.0_0.3_22__10		6,83 | 30	6,83 | 30	3,20	0,63	0,80
-1.0_0.3_22__2		47,32 | 30	47,32 | 30	2,24	0,84	0,92
-1.0_0.3_22__4		21,59 | 30	21,59 | 30	3,10	0,97	0,99
-1.0_0.3_22__6		13,15 | 30	13,15 | 30	3,35	0,66	0,81
-1.0_0.3_22__8		9,42 | 30	9,42 | 30	3,03	0,84	0,92
-1.0_0.5_22__10		5,93 | 30	5,93 | 30	4,19	0,84	0,91
-1.0_0.5_22__2		45,55 | 30	45,55 | 30	3,65	2,14	1,46
-1.0_0.5_22__4		19,90 | 30	19,90 | 30	4,68	2,18	1,48
-1.0_0.5_22__6		12,06 | 30	12,06 | 30	4,47	2,04	1,43
-1.0_0.5_22__8		8,37 | 30	8,37 | 30	4,13	1,68	1,30
