ALPHA = 1.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_21_10		10,94	0,00	0,03
-1.0_0.0_21_2		50,71	0,00	0,01
-1.0_0.0_21_4		25,64	0,00	0,02
-1.0_0.0_21_6		17,37	0,00	0,03
-1.0_0.0_21_8		13,25	0,00	0,03
-1.0_0.3_21_10		11,47	0,01	0,11
-1.0_0.3_21_2		50,94	0,01	0,08
-1.0_0.3_21_4		25,90	0,00	0,07
-1.0_0.3_21_6		17,67	0,01	0,09
-1.0_0.3_21_8		13,61	0,01	0,07
-1.0_0.5_21_10		12,11	0,05	0,21
-1.0_0.5_21_2		51,26	0,01	0,10
-1.0_0.5_21_4		26,17	0,01	0,10
-1.0_0.5_21_6		18,01	0,02	0,13
-1.0_0.5_21_8		13,98	0,02	0,16
-1.0_0.7_21_10		12,64	0,11	0,33
-1.0_0.7_21_2		51,77	0,04	0,21
-1.0_0.7_21_4		26,80	0,02	0,14
-1.0_0.7_21_6		18,81	0,06	0,25
-1.0_0.7_21_8		14,62	0,06	0,25
-1.0_1.0_21_10		10,75	0,00	0,01
-1.0_1.0_21_2		50,60	0,00	0,01
-1.0_1.0_21_4		25,52	0,00	0,01
-1.0_1.0_21_6		17,23	0,00	0,01
-1.0_1.0_21_8		13,11	0,00	0,01



ALPHA = 1.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_21_10		10,44	0,00	0,01
-1.0_0.0_21_2		50,38	0,00	0,00
-1.0_0.0_21_4		25,32	0,00	0,00
-1.0_0.0_21_6		17,02	0,00	0,01
-1.0_0.0_21_8		12,88	0,00	0,01
-1.0_0.3_21_10		10,67	0,00	0,04
-1.0_0.3_21_2		50,51	0,00	0,02
-1.0_0.3_21_4		25,45	0,00	0,02
-1.0_0.3_21_6		17,18	0,00	0,02
-1.0_0.3_21_8		13,07	0,00	0,03
-1.0_0.5_21_10		10,94	0,00	0,07
-1.0_0.5_21_2		50,70	0,00	0,03
-1.0_0.5_21_4		25,64	0,00	0,04
-1.0_0.5_21_6		17,37	0,00	0,04
-1.0_0.5_21_8		13,28	0,00	0,04
-1.0_0.7_21_10		11,50	0,01	0,11
-1.0_0.7_21_2		51,00	0,00	0,07
-1.0_0.7_21_4		26,01	0,01	0,07
-1.0_0.7_21_6		17,85	0,01	0,09
-1.0_0.7_21_8		13,75	0,01	0,11
-1.0_1.0_21_10		10,35	0,00	0,00
-1.0_1.0_21_2		50,32	0,00	0,00
-1.0_1.0_21_4		25,26	0,00	0,00
-1.0_1.0_21_6		16,94	0,00	0,00
-1.0_1.0_21_8		12,80	0,00	0,00



ALPHA = 2.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_21_10		10,67	0,00	0,02
-1.0_0.0_21_2		50,90	0,00	0,02
-1.0_0.0_21_4		25,60	0,00	0,01
-1.0_0.0_21_6		17,23	0,00	0,02
-1.0_0.0_21_8		13,06	0,00	0,02
-1.0_0.3_21_10		11,08	0,01	0,09
-1.0_0.3_21_2		51,22	0,01	0,09
-1.0_0.3_21_4		25,86	0,01	0,08
-1.0_0.3_21_6		17,50	0,00	0,06
-1.0_0.3_21_8		13,34	0,01	0,07
-1.0_0.5_21_10		11,44	0,02	0,16
-1.0_0.5_21_2		51,66	0,02	0,14
-1.0_0.5_21_4		26,21	0,02	0,15
-1.0_0.5_21_6		17,81	0,01	0,09
-1.0_0.5_21_8		13,63	0,01	0,12
-1.0_0.7_21_10		11,93	0,10	0,31
-1.0_0.7_21_2		52,30	0,04	0,21
-1.0_0.7_21_4		26,71	0,06	0,25
-1.0_0.7_21_6		18,33	0,04	0,20
-1.0_0.7_21_8		14,14	0,04	0,20
-1.0_1.0_21_10		10,53	0,00	0,01
-1.0_1.0_21_2		50,77	0,00	0,01
-1.0_1.0_21_4		25,50	0,00	0,01
-1.0_1.0_21_6		17,12	0,00	0,00
-1.0_1.0_21_8		12,95	0,00	0,00



ALPHA = 2.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_21_10		10,30	0,00	0,01
-1.0_0.0_21_2		50,48	0,00	0,00
-1.0_0.0_21_4		25,31	0,00	0,00
-1.0_0.0_21_6		16,94	0,00	0,01
-1.0_0.0_21_8		12,77	0,00	0,00
-1.0_0.3_21_10		10,47	0,00	0,02
-1.0_0.3_21_2		50,66	0,00	0,02
-1.0_0.3_21_4		25,45	0,00	0,02
-1.0_0.3_21_6		17,06	0,00	0,01
-1.0_0.3_21_8		12,91	0,00	0,02
-1.0_0.5_21_10		10,65	0,00	0,05
-1.0_0.5_21_2		50,87	0,00	0,04
-1.0_0.5_21_4		25,61	0,00	0,03
-1.0_0.5_21_6		17,24	0,00	0,03
-1.0_0.5_21_8		13,09	0,00	0,04
-1.0_0.7_21_10		11,07	0,00	0,07
-1.0_0.7_21_2		51,29	0,01	0,07
-1.0_0.7_21_4		25,95	0,00	0,06
-1.0_0.7_21_6		17,56	0,00	0,06
-1.0_0.7_21_8		13,45	0,01	0,09
-1.0_1.0_21_10		10,23	0,00	0,00
-1.0_1.0_21_2		50,41	0,00	0,00
-1.0_1.0_21_4		25,26	0,00	0,00
-1.0_1.0_21_6		16,89	0,00	0,00
-1.0_1.0_21_8		12,72	0,00	0,00



ALPHA = 2.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_21_10		10,54	0,00	0,02
-1.0_0.0_21_2		50,99	0,00	0,02
-1.0_0.0_21_4		25,60	0,00	0,01
-1.0_0.0_21_6		17,17	0,00	0,02
-1.0_0.0_21_8		12,97	0,00	0,01
-1.0_0.3_21_10		10,84	0,01	0,09
-1.0_0.3_21_2		51,38	0,01	0,10
-1.0_0.3_21_4		25,87	0,00	0,05
-1.0_0.3_21_6		17,42	0,00	0,06
-1.0_0.3_21_8		13,19	0,00	0,06
-1.0_0.5_21_10		11,17	0,01	0,12
-1.0_0.5_21_2		51,83	0,02	0,13
-1.0_0.5_21_4		26,15	0,01	0,11
-1.0_0.5_21_6		17,67	0,01	0,09
-1.0_0.5_21_8		13,46	0,01	0,11
-1.0_0.7_21_10		11,60	0,02	0,14
-1.0_0.7_21_2		52,54	0,07	0,27
-1.0_0.7_21_4		26,68	0,04	0,20
-1.0_0.7_21_6		18,15	0,03	0,16
-1.0_0.7_21_8		13,89	0,02	0,15
-1.0_1.0_21_10		10,43	0,00	0,01
-1.0_1.0_21_2		50,86	0,00	0,01
-1.0_1.0_21_4		25,50	0,00	0,00
-1.0_1.0_21_6		17,08	0,00	0,00
-1.0_1.0_21_8		12,88	0,00	0,01



ALPHA = 2.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_21_10		10,24	0,00	0,00
-1.0_0.0_21_2		50,52	0,00	0,01
-1.0_0.0_21_4		25,31	0,00	0,00
