ALPHA = 1.5
-1.0_0.0_21_6		16,92	0,00	0,00
-1.0_0.0_21_8		12,73	0,00	0,00
-1.0_0.3_21_10		10,36	0,00	0,02
-1.0_0.3_21_2		50,72	0,00	0,03
-1.0_0.3_21_4		25,43	0,00	0,01
-1.0_0.3_21_6		17,03	0,00	0,01
-1.0_0.3_21_8		12,84	0,00	0,02
-1.0_0.5_21_10		10,53	0,00	0,03
-1.0_0.5_21_2		51,00	0,00	0,06
-1.0_0.5_21_4		25,58	0,00	0,03
-1.0_0.5_21_6		17,18	0,00	0,02
-1.0_0.5_21_8		13,01	0,00	0,03
-1.0_0.7_21_10		10,85	0,01	0,07
-1.0_0.7_21_2		51,42	0,01	0,07
-1.0_0.7_21_4		25,95	0,01	0,08
-1.0_0.7_21_6		17,47	0,00	0,05
-1.0_0.7_21_8		13,29	0,00	0,05
-1.0_1.0_21_10		10,19	0,00	0,00
-1.0_1.0_21_2		50,44	0,00	0,00
-1.0_1.0_21_4		25,26	0,00	0,00
-1.0_1.0_21_6		16,87	0,00	0,00
-1.0_1.0_21_8		12,69	0,00	0,00



ALPHA = 3.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_21_10		10,47	0,00	0,02
-1.0_0.0_21_2		51,05	0,00	0,02
-1.0_0.0_21_4		25,60	0,00	0,01
-1.0_0.0_21_6		17,14	0,00	0,01
-1.0_0.0_21_8		12,93	0,00	0,01
-1.0_0.3_21_10		10,73	0,01	0,07
-1.0_0.3_21_2		51,48	0,01	0,11
-1.0_0.3_21_4		25,83	0,00	0,07
-1.0_0.3_21_6		17,37	0,00	0,05
-1.0_0.3_21_8		13,12	0,00	0,05
-1.0_0.5_21_10		11,05	0,01	0,09
-1.0_0.5_21_2		51,94	0,03	0,16
-1.0_0.5_21_4		26,19	0,02	0,13
-1.0_0.5_21_6		17,60	0,01	0,11
-1.0_0.5_21_8		13,36	0,01	0,10
-1.0_0.7_21_10		11,40	0,03	0,18
-1.0_0.7_21_2		52,70	0,06	0,24
-1.0_0.7_21_4		26,70	0,04	0,20
-1.0_0.7_21_6		18,06	0,02	0,14
-1.0_0.7_21_8		13,73	0,03	0,16
-1.0_1.0_21_10		10,37	0,00	0,00
-1.0_1.0_21_2		50,90	0,00	0,01
-1.0_1.0_21_4		25,50	0,00	0,00
-1.0_1.0_21_6		17,06	0,00	0,00
-1.0_1.0_21_8		12,85	0,00	0,00



ALPHA = 3.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_21_10		10,21	0,00	0,00
-1.0_0.0_21_2		50,54	0,00	0,01
-1.0_0.0_21_4		25,31	0,00	0,00
-1.0_0.0_21_6		16,90	0,00	0,00
-1.0_0.0_21_8		12,71	0,00	0,00
-1.0_0.3_21_10		10,33	0,00	0,02
-1.0_0.3_21_2		50,75	0,00	0,02
-1.0_0.3_21_4		25,44	0,00	0,01
-1.0_0.3_21_6		17,02	0,00	0,01
-1.0_0.3_21_8		12,81	0,00	0,01
-1.0_0.5_21_10		10,47	0,00	0,03
-1.0_0.5_21_2		51,04	0,00	0,05
-1.0_0.5_21_4		25,60	0,00	0,03
-1.0_0.5_21_6		17,15	0,00	0,03
-1.0_0.5_21_8		12,93	0,00	0,02
-1.0_0.7_21_10		10,72	0,00	0,05
-1.0_0.7_21_2		51,44	0,01	0,07
-1.0_0.7_21_4		25,89	0,00	0,06
-1.0_0.7_21_6		17,41	0,00	0,06
-1.0_0.7_21_8		13,19	0,00	0,05
-1.0_1.0_21_10		10,17	0,00	0,00
-1.0_1.0_21_2		50,47	0,00	0,00
-1.0_1.0_21_4		25,26	0,00	0,00
-1.0_1.0_21_6		16,86	0,00	0,00
-1.0_1.0_21_8		12,67	0,00	0,00
