ALPHA = 1.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_11		4,48	1,46	1,21
0.3_0.3_11		7,14	3,16	1,78
0.3_0.5_11		8,02	5,48	2,34
0.3_0.7_11		10,14	14,03	3,75
0.3_1.0_11		7,98	4,55	2,13
0.5_0.0_11		5,51	1,86	1,36
0.5_0.3_11		7,13	2,68	1,64
0.5_0.5_11		9,64	6,55	2,56
0.5_0.7_11		10,92	7,29	2,70
0.5_1.0_11		9,92	5,38	2,32
0.7_0.0_11		5,43	1,13	1,06
0.7_0.3_11		7,73	3,19	1,78
0.7_0.5_11		9,08	6,13	2,48
0.7_0.7_11		11,01	5,40	2,32
0.7_1.0_11		8,73	4,50	2,12



ALPHA = 1.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_11		2,16	0,20	0,44
0.3_0.3_11		3,78	0,40	0,64
0.3_0.5_11		5,15	0,31	0,56
0.3_0.7_11		7,05	1,37	1,17
0.3_1.0_11		8,06	1,39	1,18
0.5_0.0_11		2,50	0,30	0,55
0.5_0.3_11		4,41	0,34	0,58
0.5_0.5_11		6,45	1,03	1,01
0.5_0.7_11		8,50	1,35	1,16
0.5_1.0_11		8,75	1,00	1,00
0.7_0.0_11		3,04	0,20	0,44
0.7_0.3_11		4,36	0,46	0,68
0.7_0.5_11		6,11	0,90	0,95
0.7_0.7_11		7,80	1,55	1,24
0.7_1.0_11		7,40	0,95	0,97



ALPHA = 2.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_11		4,64	2,58	1,61
0.3_0.3_11		6,29	3,02	1,74
0.3_0.5_11		8,96	5,46	2,34
0.3_0.7_11		9,18	3,49	1,87
0.3_1.0_11		8,20	7,77	2,79
0.5_0.0_11		6,07	2,73	1,65
0.5_0.3_11		8,32	2,72	1,65
0.5_0.5_11		9,91	4,73	2,17
0.5_0.7_11		11,95	11,94	3,46
0.5_1.0_11		10,63	6,24	2,50
0.7_0.0_11		5,28	1,77	1,33
0.7_0.3_11		7,57	4,55	2,13
0.7_0.5_11		9,24	4,16	2,04
0.7_0.7_11		11,52	4,79	2,19
0.7_1.0_11		8,64	4,60	2,15



ALPHA = 2.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_11		2,58	0,20	0,45
0.3_0.3_11		4,20	0,83	0,91
0.3_0.5_11		5,72	1,14	1,07
0.3_0.7_11		8,01	1,55	1,25
0.3_1.0_11		8,35	1,49	1,22
0.5_0.0_11		2,87	0,23	0,48
0.5_0.3_11		5,04	0,56	0,75
0.5_0.5_11		6,81	1,06	1,03
0.5_0.7_11		8,45	0,94	0,97
0.5_1.0_11		10,08	2,42	1,56
0.7_0.0_11		3,29	0,26	0,51
0.7_0.3_11		4,95	0,66	0,81
0.7_0.5_11		6,25	0,54	0,74
0.7_0.7_11		8,45	1,10	1,05
0.7_1.0_11		7,14	1,33	1,15



ALPHA = 2.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_11		4,67	1,55	1,24
0.3_0.3_11		8,04	4,56	2,14
0.3_0.5_11		8,57	5,01	2,24
0.3_0.7_11		10,16	11,59	3,40
0.3_1.0_11		8,94	5,47	2,34
0.5_0.0_11		6,18	2,55	1,60
0.5_0.3_11		7,87	4,18	2,04
0.5_0.5_11		9,42	6,23	2,50
0.5_0.7_11		12,09	10,14	3,18
0.5_1.0_11		10,09	7,26	2,70
0.7_0.0_11		5,79	1,84	1,36
0.7_0.3_11		8,03	3,98	2,00
0.7_0.5_11		9,90	3,78	1,95
0.7_0.7_11		12,61	7,11	2,67
0.7_1.0_11		9,68	5,32	2,31



ALPHA = 2.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_11		2,56	0,31	0,56
0.3_0.3_11		4,35	0,61	0,78
0.3_0.5_11		6,29	1,21	1,10
0.3_0.7_11		7,97	1,97	1,40
0.3_1.0_11		8,49	1,89	1,38
0.5_0.0_11		2,77	0,20	0,45
0.5_0.3_11		5,09	0,60	0,77
0.5_0.5_11		7,00	1,05	1,02
0.5_0.7_11		9,58	1,72	1,31
0.5_1.0_11		9,03	1,97	1,40
0.7_0.0_11		3,17	0,25	0,50
0.7_0.3_11		4,83	0,56	0,75
0.7_0.5_11		6,21	0,57	0,76
0.7_0.7_11		7,98	1,20	1,09
0.7_1.0_11		6,68	1,14	1,07



ALPHA = 3.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_11		5,02	1,52	1,23
0.3_0.3_11		7,73	3,51	1,87
0.3_0.5_11		9,57	5,51	2,35
0.3_0.7_11		10,42	10,39	3,22
0.3_1.0_11		10,71	8,75	2,96
0.5_0.0_11		5,29	1,89	1,38
0.5_0.3_11		7,43	4,61	2,15
0.5_0.5_11		10,07	6,68	2,58
0.5_0.7_11		11,84	10,39	3,22
0.5_1.0_11		10,40	8,88	2,98
0.7_0.0_11		5,21	1,80	1,34
0.7_0.3_11		8,35	4,15	2,04
0.7_0.5_11		8,50	3,32	1,82
0.7_0.7_11		11,24	11,41	3,38
0.7_1.0_11		8,93	6,98	2,64



ALPHA = 3.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_11		2,93	0,29	0,54
0.3_0.3_11		4,99	0,94	0,97
0.3_0.5_11		6,16	1,00	1,00
0.3_0.7_11		8,64	1,58	1,26
0.3_1.0_11		8,49	1,78	1,33
0.5_0.0_11		2,92	0,25	0,50
0.5_0.3_11		4,49	0,63	0,79
0.5_0.5_11		6,87	1,03	1,02
0.5_0.7_11		8,64	1,75	1,32
0.5_1.0_11		9,77	1,62	1,27
0.7_0.0_11		3,37	0,25	0,50
0.7_0.3_11		5,27	0,54	0,74
0.7_0.5_11		6,73	0,69	0,83
0.7_0.7_11		8,30	1,03	1,02
0.7_1.0_11		8,45	1,32	1,15
