ALPHA = 1.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_22_10		10,67	0,00	0,00
-1.0_0.0_22_2		50,55	0,00	0,00
-1.0_0.0_22_4		25,47	0,00	0,00
-1.0_0.0_22_6		17,17	0,00	0,00
-1.0_0.0_22_8		13,04	0,00	0,00
-1.0_0.3_22_10		11,15	0,01	0,11
-1.0_0.3_22_2		50,75	0,00	0,06
-1.0_0.3_22_4		25,70	0,00	0,05
-1.0_0.3_22_6		17,42	0,00	0,07
-1.0_0.3_22_8		13,32	0,00	0,06
-1.0_0.5_22_10		11,80	0,08	0,28
-1.0_0.5_22_2		51,02	0,01	0,07
-1.0_0.5_22_4		25,90	0,00	0,07
-1.0_0.5_22_6		17,69	0,01	0,11
-1.0_0.5_22_8		13,64	0,02	0,16
-1.0_0.7_22_10		12,67	0,17	0,42
-1.0_0.7_22_2		51,52	0,04	0,21
-1.0_0.7_22_4		26,45	0,02	0,13
-1.0_0.7_22_6		18,41	0,06	0,25
-1.0_0.7_22_8		14,25	0,07	0,26
-1.0_1.0_22_10		10,75	0,00	0,01
-1.0_1.0_22_2		50,60	0,00	0,01
-1.0_1.0_22_4		25,52	0,00	0,01
-1.0_1.0_22_6		17,23	0,00	0,01
-1.0_1.0_22_8		13,11	0,00	0,01



ALPHA = 1.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_22_10		10,30	0,00	0,00
-1.0_0.0_22_2		50,30	0,00	0,00
-1.0_0.0_22_4		25,24	0,00	0,00
-1.0_0.0_22_6		16,91	0,00	0,00
-1.0_0.0_22_8		12,76	0,00	0,00
-1.0_0.3_22_10		10,49	0,00	0,03
-1.0_0.3_22_2		50,40	0,00	0,01
-1.0_0.3_22_4		25,34	0,00	0,01
-1.0_0.3_22_6		17,04	0,00	0,01
-1.0_0.3_22_8		12,91	0,00	0,02
-1.0_0.5_22_10		10,71	0,00	0,06
-1.0_0.5_22_2		50,55	0,00	0,03
-1.0_0.5_22_4		25,48	0,00	0,03
-1.0_0.5_22_6		17,19	0,00	0,03
-1.0_0.5_22_8		13,08	0,00	0,03
-1.0_0.7_22_10		11,24	0,02	0,12
-1.0_0.7_22_2		50,82	0,00	0,06
-1.0_0.7_22_4		25,79	0,00	0,06
-1.0_0.7_22_6		17,60	0,01	0,09
-1.0_0.7_22_8		13,48	0,01	0,10
-1.0_1.0_22_10		10,35	0,00	0,00
-1.0_1.0_22_2		50,32	0,00	0,00
-1.0_1.0_22_4		25,26	0,00	0,00
-1.0_1.0_22_6		16,94	0,00	0,00
-1.0_1.0_22_8		12,80	0,00	0,00



ALPHA = 2.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_22_10		10,47	0,00	0,00
-1.0_0.0_22_2		50,71	0,00	0,00
-1.0_0.0_22_4		25,46	0,00	0,00
-1.0_0.0_22_6		17,08	0,00	0,00
-1.0_0.0_22_8		12,90	0,00	0,00
-1.0_0.3_22_10		10,85	0,01	0,09
-1.0_0.3_22_2		50,98	0,00	0,07
-1.0_0.3_22_4		25,67	0,00	0,06
-1.0_0.3_22_6		17,29	0,00	0,05
-1.0_0.3_22_8		13,13	0,00	0,06
-1.0_0.5_22_10		11,22	0,03	0,17
-1.0_0.5_22_2		51,35	0,02	0,12
-1.0_0.5_22_4		25,96	0,02	0,14
-1.0_0.5_22_6		17,55	0,00	0,07
-1.0_0.5_22_8		13,37	0,01	0,10
-1.0_0.7_22_10		12,04	0,11	0,34
-1.0_0.7_22_2		51,95	0,04	0,21
-1.0_0.7_22_4		26,41	0,05	0,22
-1.0_0.7_22_6		18,06	0,04	0,20
-1.0_0.7_22_8		13,86	0,04	0,21
-1.0_1.0_22_10		10,53	0,00	0,01
-1.0_1.0_22_2		50,77	0,00	0,01
-1.0_1.0_22_4		25,50	0,00	0,01
-1.0_1.0_22_6		17,12	0,00	0,00
-1.0_1.0_22_8		12,95	0,00	0,00



ALPHA = 2.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_22_10		10,21	0,00	0,00
-1.0_0.0_22_2		50,37	0,00	0,00
-1.0_0.0_22_4		25,23	0,00	0,00
-1.0_0.0_22_6		16,87	0,00	0,00
-1.0_0.0_22_8		12,69	0,00	0,00
-1.0_0.3_22_10		10,34	0,00	0,02
-1.0_0.3_22_2		50,52	0,00	0,01
-1.0_0.3_22_4		25,35	0,00	0,01
-1.0_0.3_22_6		16,97	0,00	0,01
-1.0_0.3_22_8		12,80	0,00	0,01
-1.0_0.5_22_10		10,50	0,00	0,04
-1.0_0.5_22_2		50,70	0,00	0,04
-1.0_0.5_22_4		25,47	0,00	0,02
-1.0_0.5_22_6		17,10	0,00	0,02
-1.0_0.5_22_8		12,94	0,00	0,03
-1.0_0.7_22_10		10,91	0,01	0,11
-1.0_0.7_22_2		51,07	0,00	0,06
-1.0_0.7_22_4		25,78	0,00	0,06
-1.0_0.7_22_6		17,37	0,00	0,05
-1.0_0.7_22_8		13,25	0,01	0,08
-1.0_1.0_22_10		10,23	0,00	0,00
-1.0_1.0_22_2		50,41	0,00	0,00
-1.0_1.0_22_4		25,26	0,00	0,00
-1.0_1.0_22_6		16,89	0,00	0,00
-1.0_1.0_22_8		12,72	0,00	0,00



ALPHA = 2.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_22_10		10,39	0,00	0,00
-1.0_0.0_22_2		50,79	0,00	0,00
-1.0_0.0_22_4		25,46	0,00	0,00
-1.0_0.0_22_6		17,04	0,00	0,00
-1.0_0.0_22_8		12,84	0,00	0,00
-1.0_0.3_22_10		10,66	0,01	0,09
-1.0_0.3_22_2		51,11	0,01	0,08
-1.0_0.3_22_4		25,67	0,00	0,04
-1.0_0.3_22_6		17,24	0,00	0,05
-1.0_0.3_22_8		13,03	0,00	0,04
-1.0_0.5_22_10		10,96	0,01	0,11
-1.0_0.5_22_2		51,50	0,01	0,11
-1.0_0.5_22_4		25,93	0,01	0,11
-1.0_0.5_22_6		17,47	0,01	0,08
-1.0_0.5_22_8		13,27	0,01	0,10
-1.0_0.7_22_10		11,72	0,03	0,18
-1.0_0.7_22_2		52,15	0,07	0,26
-1.0_0.7_22_4		26,43	0,04	0,21
-1.0_0.7_22_6		17,93	0,03	0,17
-1.0_0.7_22_8		13,67	0,03	0,17
-1.0_1.0_22_10		10,43	0,00	0,01
-1.0_1.0_22_2		50,86	0,00	0,01
-1.0_1.0_22_4		25,50	0,00	0,00
-1.0_1.0_22_6		17,08	0,00	0,00
-1.0_1.0_22_8		12,88	0,00	0,01



ALPHA = 2.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_22_10		10,17	0,00	0,00
-1.0_0.0_22_2		50,41	0,00	0,00
-1.0_0.0_22_4		25,23	0,00	0,00
