ALPHA = 1.5
-1.0_0.0_22_6		16,85	0,00	0,00
-1.0_0.0_22_8		12,67	0,00	0,00
-1.0_0.3_22_10		10,27	0,00	0,01
-1.0_0.3_22_2		50,58	0,00	0,02
-1.0_0.3_22_4		25,34	0,00	0,01
-1.0_0.3_22_6		16,94	0,00	0,01
-1.0_0.3_22_8		12,75	0,00	0,01
-1.0_0.5_22_10		10,40	0,00	0,03
-1.0_0.5_22_2		50,80	0,00	0,05
-1.0_0.5_22_4		25,46	0,00	0,02
-1.0_0.5_22_6		17,06	0,00	0,02
-1.0_0.5_22_8		12,89	0,00	0,03
-1.0_0.7_22_10		10,72	0,01	0,09
-1.0_0.7_22_2		51,18	0,00	0,06
-1.0_0.7_22_4		25,79	0,00	0,07
-1.0_0.7_22_6		17,32	0,00	0,04
-1.0_0.7_22_8		13,13	0,00	0,05
-1.0_1.0_22_10		10,19	0,00	0,00
-1.0_1.0_22_2		50,44	0,00	0,00
-1.0_1.0_22_4		25,26	0,00	0,00
-1.0_1.0_22_6		16,87	0,00	0,00
-1.0_1.0_22_8		12,69	0,00	0,00



ALPHA = 3.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_22_10		10,34	0,00	0,00
-1.0_0.0_22_2		50,84	0,00	0,00
-1.0_0.0_22_4		25,46	0,00	0,00
-1.0_0.0_22_6		17,02	0,00	0,00
-1.0_0.0_22_8		12,81	0,00	0,00
-1.0_0.3_22_10		10,57	0,00	0,07
-1.0_0.3_22_2		51,20	0,01	0,09
-1.0_0.3_22_4		25,66	0,00	0,05
-1.0_0.3_22_6		17,21	0,00	0,04
-1.0_0.3_22_8		12,98	0,00	0,05
-1.0_0.5_22_10		10,87	0,01	0,08
-1.0_0.5_22_2		51,59	0,02	0,14
-1.0_0.5_22_4		25,95	0,01	0,10
-1.0_0.5_22_6		17,42	0,01	0,10
-1.0_0.5_22_8		13,19	0,01	0,10
-1.0_0.7_22_10		11,48	0,04	0,21
-1.0_0.7_22_2		52,33	0,06	0,25
-1.0_0.7_22_4		26,45	0,05	0,22
-1.0_0.7_22_6		17,84	0,02	0,15
-1.0_0.7_22_8		13,54	0,02	0,16
-1.0_1.0_22_10		10,37	0,00	0,00
-1.0_1.0_22_2		50,90	0,00	0,01
-1.0_1.0_22_4		25,50	0,00	0,00
-1.0_1.0_22_6		17,06	0,00	0,00
-1.0_1.0_22_8		12,85	0,00	0,00



ALPHA = 3.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_22_10		10,15	0,00	0,00
-1.0_0.0_22_2		50,43	0,00	0,00
-1.0_0.0_22_4		25,24	0,00	0,00
-1.0_0.0_22_6		16,84	0,00	0,00
-1.0_0.0_22_8		12,65	0,00	0,00
-1.0_0.3_22_10		10,25	0,00	0,01
-1.0_0.3_22_2		50,60	0,00	0,02
-1.0_0.3_22_4		25,35	0,00	0,01
-1.0_0.3_22_6		16,94	0,00	0,01
-1.0_0.3_22_8		12,73	0,00	0,01
-1.0_0.5_22_10		10,36	0,00	0,02
-1.0_0.5_22_2		50,84	0,00	0,05
-1.0_0.5_22_4		25,48	0,00	0,03
-1.0_0.5_22_6		17,05	0,00	0,03
-1.0_0.5_22_8		12,83	0,00	0,02
-1.0_0.7_22_10		10,62	0,00	0,06
-1.0_0.7_22_2		51,22	0,00	0,07
-1.0_0.7_22_4		25,74	0,00	0,06
-1.0_0.7_22_6		17,27	0,00	0,06
-1.0_0.7_22_8		13,06	0,00	0,05
-1.0_1.0_22_10		10,17	0,00	0,00
-1.0_1.0_22_2		50,47	0,00	0,00
-1.0_1.0_22_4		25,26	0,00	0,00
-1.0_1.0_22_6		16,86	0,00	0,00
-1.0_1.0_22_8		12,67	0,00	0,00
