ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.3_22__8		3,39		2,65	0,75	0,00		1,29		0
-1.0_0.5_22__10		4,91		3,06	0,50	0,00		1,86		0
-1.0_0.5_22__2		4,46		2,72	-0,00	-0,00		1,65		1
-1.0_0.5_22__4		4,82		3,40	0,46	0,00		1,91		0
-1.0_0.5_22__6		5,00		3,15	0,77	0,00		2,15		0
-1.0_0.5_22__8		5,10		3,29	0,93	0,00		2,22		0
-1.0_0.7_22__10		6,75		3,11	0,28	0,00		1,96		0
-1.0_0.7_22__2		6,47		3,97	-0,36	-0,18		2,99		9
-1.0_0.7_22__4		6,57		4,78	0,72	0,00		2,06		0
-1.0_0.7_22__6		6,75		4,60	0,97	0,00		2,48		0
-1.0_0.7_22__8		7,30		5,46	1,33	0,00		2,90		0
-1.0_1.0_22__10		2,19		0,68	0,42	0,00		0,55		0
-1.0_1.0_22__2		1,83		0,47	0,03	0,00		0,20		0
-1.0_1.0_22__4		2,21		0,88	0,33	0,00		0,58		0
-1.0_1.0_22__6		2,32		0,92	0,48	0,00		0,71		0
-1.0_1.0_22__8		2,38		0,92	0,73	0,00		0,79		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		3,71		1,13	0,97	0,00		1,04		0
-1.0_0.0_22__2		2,83		0,36	-0,12	-0,12		0,18		1
-1.0_0.0_22__4		3,10		0,67	0,39	0,00		0,52		0
-1.0_0.0_22__6		3,18		0,76	0,52	0,00		0,69		0
-1.0_0.0_22__8		3,24		0,90	0,70	0,00		0,83		0
-1.0_0.3_22__10		6,56		5,79	1,61	0,00		2,40		0
-1.0_0.3_22__2		5,70		4,84	0,09	0,00		1,91		0
-1.0_0.3_22__4		6,32		4,47	0,55	0,00		2,60		0
-1.0_0.3_22__6		6,92		4,10	0,70	0,00		3,22		0
-1.0_0.3_22__8		5,34		4,45	0,99	0,00		1,87		0
-1.0_0.5_22__10		10,67		5,84	1,71	0,00		4,97		0
-1.0_0.5_22__2		8,14		6,18	0,20	0,00		2,94		0
-1.0_0.5_22__4		8,12		6,72	0,70	0,00		3,09		0
-1.0_0.5_22__6		8,47		5,36	0,93	0,00		3,55		0
-1.0_0.5_22__8		7,63		6,15	1,54	0,00		2,88		0
-1.0_0.7_22__10		13,45		5,76	4,24	0,00		4,46		0
-1.0_0.7_22__2		12,27		9,65	0,84	0,00		4,65		0
-1.0_0.7_22__4		11,84		8,62	0,87	0,00		4,32		0
-1.0_0.7_22__6		10,84		7,03	1,35	0,00		3,63		0
-1.0_0.7_22__8		11,80		6,20	1,60	0,00		5,00		0
-1.0_1.0_22__10		4,27		1,57	1,25	0,00		1,37		0
-1.0_1.0_22__2		3,43		1,14	0,09	0,00		0,54		0
-1.0_1.0_22__4		3,65		1,38	0,48	0,00		0,85		0
-1.0_1.0_22__6		3,71		1,26	0,70	0,00		1,00		0
-1.0_1.0_22__8		3,76		1,36	0,92	0,00		1,13		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		1,70		0,39	0,26	0,00		0,33		0
-1.0_0.0_22__2		1,31		0,04	-0,15	-0,06		0,03		28
-1.0_0.0_22__4		1,67		0,41	0,20	0,00		0,30		0
-1.0_0.0_22__6		1,74		0,49	0,31	0,00		0,39		0
-1.0_0.0_22__8		1,77		0,52	0,35	0,00		0,45		0
-1.0_0.3_22__10		3,32		2,09	0,37	0,00		1,29		0
-1.0_0.3_22__2		3,07		2,14	-0,29	-0,12		1,75		10
-1.0_0.3_22__4		3,03		2,37	0,30	0,00		1,09		0
-1.0_0.3_22__6		3,15		2,48	0,43	0,00		1,23		0
-1.0_0.3_22__8		2,89		2,50	0,53	0,00		0,99		0
-1.0_0.5_22__10		4,51		2,58	0,36	0,00		1,76		0
-1.0_0.5_22__2		4,01		3,17	-0,22	-0,15		2,37		13
-1.0_0.5_22__4		4,60		3,27	0,29	0,00		2,01		0
-1.0_0.5_22__6		4,72		3,15	0,49	0,00		2,09		0
-1.0_0.5_22__8		4,85		3,14	0,76	0,00		2,13		0
-1.0_0.7_22__10		6,51		3,21	0,22	0,00		2,17		0
-1.0_0.7_22__2		5,21		3,88	-0,63	-0,31		3,16		17
-1.0_0.7_22__4		6,54		5,50	0,53	0,00		2,27		0
-1.0_0.7_22__6		6,71		4,72	0,76	0,00		2,64		0
-1.0_0.7_22__8		6,84		4,11	0,95	0,00		2,86		0
-1.0_1.0_22__10		1,97		0,61	0,36	0,00		0,48		0
-1.0_1.0_22__2		1,56		0,37	-0,11	-0,05		0,12		6
-1.0_1.0_22__4		1,99		0,72	0,32	0,00		0,50		0
-1.0_1.0_22__6		2,00		0,77	0,32	0,00		0,53		0
-1.0_1.0_22__8		2,07		0,76	0,43	0,00		0,62		0



ALPHA = 3.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		3,39		0,95	0,74	0,00		0,85		0
-1.0_0.0_22__2		2,54		0,22	-0,15	-0,06		0,07		13
-1.0_0.0_22__4		2,84		0,56	0,21	0,00		0,40		0
-1.0_0.0_22__6		2,92		0,67	0,46	0,00		0,55		0
-1.0_0.0_22__8		2,98		0,81	0,57	0,00		0,68		0
-1.0_0.3_22__10		5,91		5,51	1,27	0,00		2,00		0
-1.0_0.3_22__2		5,59		4,69	-0,11	-0,07		2,11		3
-1.0_0.3_22__4		6,00		4,42	0,48	0,00		2,52		0
-1.0_0.3_22__6		6,56		4,11	0,61	0,00		3,05		0
-1.0_0.3_22__8		5,42		4,40	0,84	0,00		2,10		0
-1.0_0.5_22__10		10,56		5,57	1,30	0,00		4,97		0
-1.0_0.5_22__2		7,16		6,12	-0,07	-0,07		2,33		1
-1.0_0.5_22__4		8,61		6,76	0,61	0,00		3,64		0
-1.0_0.5_22__6		7,71		5,39	0,78	0,00		3,07		0
-1.0_0.5_22__8		7,16		5,98	0,94	0,00		2,68		0
-1.0_0.7_22__10		12,15		5,56	1,19	0,00		3,74		0
-1.0_0.7_22__2		11,43		9,41	-0,07	-0,07		4,21		1
-1.0_0.7_22__4		11,90		8,79	0,91	0,00		4,55		0
-1.0_0.7_22__6		10,19		7,04	1,21	0,00		3,37		0
-1.0_0.7_22__8		11,07		6,07	1,28	0,00		4,65		0
-1.0_1.0_22__10		3,95		1,35	0,99	0,00		1,21		0
-1.0_1.0_22__2		3,16		0,85	0,16	0,00		0,43		0
-1.0_1.0_22__4		3,39		1,15	0,49	0,00		0,74		0
-1.0_1.0_22__6		3,46		1,09	0,67	0,00		0,89		0
-1.0_1.0_22__8		3,51		1,20	0,85	0,00		1,02		0



ALPHA = 3.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		1,56		0,32	0,21	0,00		0,26		0
-1.0_0.0_22__2		1,18		-0,02	-0,22	-0,12		0,00		30
-1.0_0.0_22__4		1,52		0,36	0,10	0,00		0,22		0
-1.0_0.0_22__6		1,57		0,37	0,22	0,00		0,29		0
-1.0_0.0_22__8		1,62		0,42	0,31	0,00		0,36		0
-1.0_0.3_22__10		3,20		2,64	0,32	0,00		1,23		0
-1.0_0.3_22__2		2,24		1,99	-0,36	-0,17		1,78		21
-1.0_0.3_22__4		3,10		2,47	0,27	0,00		1,21		0
-1.0_0.3_22__6		3,35		2,55	0,47	0,00		1,49		0
-1.0_0.3_22__8		3,03		2,50	0,46	0,00		1,24		0
-1.0_0.5_22__10		4,19		2,60	0,30	0,00		1,53		0
-1.0_0.5_22__2		3,65		2,80	-0,41	-0,26		2,44		15
-1.0_0.5_22__4		4,68		3,50	0,27	0,00		2,10		0
-1.0_0.5_22__6		4,47		3,70	0,49	0,00		1,91		0
-1.0_0.5_22__8		4,13		3,10	0,55	0,00		1,71		0
-1.0_0.7_22__10		5,93		3,19	0,15	0,00		1,85		0
-1.0_0.7_22__2		5,22		4,18	-0,75	-0,43		3,39		15
-1.0_0.7_22__4		6,78		4,86	0,41	0,00		2,91		0
-1.0_0.7_22__6		5,94		5,11	0,76	0,00		2,15		0
-1.0_0.7_22__8		6,12		3,98	0,79	0,00		2,36		0
-1.0_1.0_22__10		1,81		0,53	0,21	0,00		0,41		0
-1.0_1.0_22__2		1,44		0,26	-0,22	-0,10		0,12		11
-1.0_1.0_22__4		1,78		0,59	0,21	0,00		0,38		0
-1.0_1.0_22__6		1,89		0,68	0,31	0,00		0,51		0
-1.0_1.0_22__8		1,88		0,66	0,40	0,00		0,52		0
