ALPHA = 1.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_11_10		10,94	0,00	0,03
-1.0_0.0_11_2		50,71	0,00	0,01
-1.0_0.0_11_4		25,64	0,00	0,02
-1.0_0.0_11_6		17,37	0,00	0,03
-1.0_0.0_11_8		13,25	0,00	0,03
-1.0_0.3_11_10		11,38	0,01	0,09
-1.0_0.3_11_2		50,91	0,00	0,06
-1.0_0.3_11_4		25,87	0,00	0,06
-1.0_0.3_11_6		17,63	0,01	0,07
-1.0_0.3_11_8		13,57	0,00	0,06
-1.0_0.5_11_10		11,80	0,02	0,14
-1.0_0.5_11_2		51,14	0,00	0,07
-1.0_0.5_11_4		26,07	0,01	0,07
-1.0_0.5_11_6		17,90	0,01	0,10
-1.0_0.5_11_8		13,86	0,01	0,11
-1.0_0.7_11_10		12,01	0,03	0,18
-1.0_0.7_11_2		51,40	0,01	0,10
-1.0_0.7_11_4		26,48	0,01	0,08
-1.0_0.7_11_6		18,38	0,02	0,14
-1.0_0.7_11_8		14,27	0,02	0,16
-1.0_1.0_11_10		11,09	0,00	0,05
-1.0_1.0_11_2		50,78	0,00	0,04
-1.0_1.0_11_4		25,72	0,00	0,03
-1.0_1.0_11_6		17,46	0,00	0,05
-1.0_1.0_11_8		13,36	0,00	0,04



ALPHA = 1.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_11_10		10,44	0,00	0,01
-1.0_0.0_11_2		50,38	0,00	0,00
-1.0_0.0_11_4		25,32	0,00	0,00
-1.0_0.0_11_6		17,02	0,00	0,01
-1.0_0.0_11_8		12,88	0,00	0,01
-1.0_0.3_11_10		10,64	0,00	0,03
-1.0_0.3_11_2		50,50	0,00	0,01
-1.0_0.3_11_4		25,44	0,00	0,01
-1.0_0.3_11_6		17,16	0,00	0,02
-1.0_0.3_11_8		13,05	0,00	0,02
-1.0_0.5_11_10		10,84	0,00	0,05
-1.0_0.5_11_2		50,64	0,00	0,02
-1.0_0.5_11_4		25,58	0,00	0,02
-1.0_0.5_11_6		17,31	0,00	0,03
-1.0_0.5_11_8		13,21	0,00	0,03
-1.0_0.7_11_10		11,14	0,00	0,06
-1.0_0.7_11_2		50,81	0,00	0,03
-1.0_0.7_11_4		25,80	0,00	0,04
-1.0_0.7_11_6		17,59	0,00	0,04
-1.0_0.7_11_8		13,50	0,00	0,06
-1.0_1.0_11_10		10,51	0,00	0,01
-1.0_1.0_11_2		50,42	0,00	0,01
-1.0_1.0_11_4		25,36	0,00	0,01
-1.0_1.0_11_6		17,06	0,00	0,01
-1.0_1.0_11_8		12,93	0,00	0,01



ALPHA = 2.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_11_10		10,67	0,00	0,02
-1.0_0.0_11_2		50,90	0,00	0,02
-1.0_0.0_11_4		25,60	0,00	0,01
-1.0_0.0_11_6		17,23	0,00	0,02
-1.0_0.0_11_8		13,06	0,00	0,02
-1.0_0.3_11_10		11,01	0,00	0,07
-1.0_0.3_11_2		51,17	0,00	0,07
-1.0_0.3_11_4		25,82	0,00	0,06
-1.0_0.3_11_6		17,46	0,00	0,05
-1.0_0.3_11_8		13,30	0,00	0,06
-1.0_0.5_11_10		11,23	0,01	0,10
-1.0_0.5_11_2		51,49	0,01	0,09
-1.0_0.5_11_4		26,07	0,01	0,09
-1.0_0.5_11_6		17,69	0,00	0,07
-1.0_0.5_11_8		13,52	0,01	0,09
-1.0_0.7_11_10		11,39	0,03	0,17
-1.0_0.7_11_2		51,81	0,01	0,10
-1.0_0.7_11_4		26,35	0,02	0,13
-1.0_0.7_11_6		18,00	0,01	0,11
-1.0_0.7_11_8		13,85	0,01	0,11
-1.0_1.0_11_10		10,76	0,00	0,02
-1.0_1.0_11_2		50,99	0,00	0,03
-1.0_1.0_11_4		25,68	0,00	0,02
-1.0_1.0_11_6		17,30	0,00	0,03
-1.0_1.0_11_8		13,13	0,00	0,02



ALPHA = 2.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_11_10		10,30	0,00	0,01
-1.0_0.0_11_2		50,48	0,00	0,00
-1.0_0.0_11_4		25,31	0,00	0,00
-1.0_0.0_11_6		16,94	0,00	0,01
-1.0_0.0_11_8		12,77	0,00	0,00
-1.0_0.3_11_10		10,44	0,00	0,02
-1.0_0.3_11_2		50,63	0,00	0,01
-1.0_0.3_11_4		25,43	0,00	0,01
-1.0_0.3_11_6		17,05	0,00	0,01
-1.0_0.3_11_8		12,89	0,00	0,01
-1.0_0.5_11_10		10,57	0,00	0,03
-1.0_0.5_11_2		50,79	0,00	0,03
-1.0_0.5_11_4		25,55	0,00	0,02
-1.0_0.5_11_6		17,18	0,00	0,02
-1.0_0.5_11_8		13,02	0,00	0,03
-1.0_0.7_11_10		10,76	0,00	0,03
-1.0_0.7_11_2		51,01	0,00	0,04
-1.0_0.7_11_4		25,73	0,00	0,03
-1.0_0.7_11_6		17,35	0,00	0,03
-1.0_0.7_11_8		13,23	0,00	0,04
-1.0_1.0_11_10		10,34	0,00	0,01
-1.0_1.0_11_2		50,53	0,00	0,01
-1.0_1.0_11_4		25,34	0,00	0,01
-1.0_1.0_11_6		16,97	0,00	0,01
-1.0_1.0_11_8		12,81	0,00	0,01



ALPHA = 2.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_11_10		10,54	0,00	0,02
-1.0_0.0_11_2		50,99	0,00	0,02
-1.0_0.0_11_4		25,60	0,00	0,01
-1.0_0.0_11_6		17,17	0,00	0,02
-1.0_0.0_11_8		12,97	0,00	0,01
-1.0_0.3_11_10		10,79	0,00	0,06
-1.0_0.3_11_2		51,31	0,01	0,08
-1.0_0.3_11_4		25,83	0,00	0,04
-1.0_0.3_11_6		17,38	0,00	0,05
-1.0_0.3_11_8		13,16	0,00	0,04
-1.0_0.5_11_10		11,00	0,01	0,07
-1.0_0.5_11_2		51,63	0,01	0,09
-1.0_0.5_11_4		26,03	0,01	0,08
-1.0_0.5_11_6		17,56	0,00	0,07
-1.0_0.5_11_8		13,36	0,01	0,08
-1.0_0.7_11_10		11,13	0,02	0,12
-1.0_0.7_11_2		51,99	0,01	0,11
-1.0_0.7_11_4		26,31	0,01	0,10
-1.0_0.7_11_6		17,83	0,01	0,09
-1.0_0.7_11_8		13,62	0,01	0,08
-1.0_1.0_11_10		10,63	0,00	0,03
-1.0_1.0_11_2		51,10	0,00	0,04
-1.0_1.0_11_4		25,67	0,00	0,02
-1.0_1.0_11_6		17,24	0,00	0,03
-1.0_1.0_11_8		13,04	0,00	0,03



ALPHA = 2.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_11_10		10,24	0,00	0,00
-1.0_0.0_11_2		50,52	0,00	0,01
-1.0_0.0_11_4		25,31	0,00	0,00
