ALPHA = 1.5
-1.0_0.0_11_6		16,92	0,00	0,00
-1.0_0.0_11_8		12,73	0,00	0,00
-1.0_0.3_11_10		10,34	0,00	0,01
-1.0_0.3_11_2		50,68	0,00	0,02
-1.0_0.3_11_4		25,41	0,00	0,01
-1.0_0.3_11_6		17,01	0,00	0,01
-1.0_0.3_11_8		12,83	0,00	0,01
-1.0_0.5_11_10		10,46	0,00	0,02
-1.0_0.5_11_2		50,88	0,00	0,03
-1.0_0.5_11_4		25,52	0,00	0,02
-1.0_0.5_11_6		17,12	0,00	0,02
-1.0_0.5_11_8		12,94	0,00	0,02
-1.0_0.7_11_10		10,60	0,00	0,02
-1.0_0.7_11_2		51,10	0,00	0,03
-1.0_0.7_11_4		25,70	0,00	0,03
-1.0_0.7_11_6		17,27	0,00	0,03
-1.0_0.7_11_8		13,10	0,00	0,03
-1.0_1.0_11_10		10,27	0,00	0,01
-1.0_1.0_11_2		50,57	0,00	0,01
-1.0_1.0_11_4		25,34	0,00	0,01
-1.0_1.0_11_6		16,95	0,00	0,01
-1.0_1.0_11_8		12,76	0,00	0,00



ALPHA = 3.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_11_10		10,47	0,00	0,02
-1.0_0.0_11_2		51,05	0,00	0,02
-1.0_0.0_11_4		25,60	0,00	0,01
-1.0_0.0_11_6		17,14	0,00	0,01
-1.0_0.0_11_8		12,93	0,00	0,01
-1.0_0.3_11_10		10,69	0,00	0,05
-1.0_0.3_11_2		51,41	0,01	0,09
-1.0_0.3_11_4		25,79	0,00	0,05
-1.0_0.3_11_6		17,34	0,00	0,04
-1.0_0.3_11_8		13,09	0,00	0,04
-1.0_0.5_11_10		10,90	0,00	0,06
-1.0_0.5_11_2		51,71	0,01	0,10
-1.0_0.5_11_4		26,03	0,01	0,07
-1.0_0.5_11_6		17,49	0,00	0,07
-1.0_0.5_11_8		13,27	0,00	0,07
-1.0_0.7_11_10		10,97	0,01	0,10
-1.0_0.7_11_2		52,07	0,01	0,11
-1.0_0.7_11_4		26,28	0,01	0,08
-1.0_0.7_11_6		17,76	0,00	0,07
-1.0_0.7_11_8		13,48	0,01	0,08
-1.0_1.0_11_10		10,53	0,00	0,02
-1.0_1.0_11_2		51,16	0,00	0,03
-1.0_1.0_11_4		25,66	0,00	0,02
-1.0_1.0_11_6		17,21	0,00	0,02
-1.0_1.0_11_8		12,98	0,00	0,02



ALPHA = 3.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_11_10		10,21	0,00	0,00
-1.0_0.0_11_2		50,54	0,00	0,01
-1.0_0.0_11_4		25,31	0,00	0,00
-1.0_0.0_11_6		16,90	0,00	0,00
-1.0_0.0_11_8		12,71	0,00	0,00
-1.0_0.3_11_10		10,31	0,00	0,01
-1.0_0.3_11_2		50,72	0,00	0,02
-1.0_0.3_11_4		25,42	0,00	0,01
-1.0_0.3_11_6		17,00	0,00	0,01
-1.0_0.3_11_8		12,79	0,00	0,01
-1.0_0.5_11_10		10,40	0,00	0,02
-1.0_0.5_11_2		50,91	0,00	0,03
-1.0_0.5_11_4		25,53	0,00	0,02
-1.0_0.5_11_6		17,09	0,00	0,02
-1.0_0.5_11_8		12,88	0,00	0,01
-1.0_0.7_11_10		10,51	0,00	0,02
-1.0_0.7_11_2		51,11	0,00	0,03
-1.0_0.7_11_4		25,67	0,00	0,02
-1.0_0.7_11_6		17,23	0,00	0,02
-1.0_0.7_11_8		13,01	0,00	0,02
-1.0_1.0_11_10		10,24	0,00	0,01
-1.0_1.0_11_2		50,60	0,00	0,01
-1.0_1.0_11_4		25,34	0,00	0,01
-1.0_1.0_11_6		16,93	0,00	0,01
-1.0_1.0_11_8		12,74	0,00	0,01
